Группа тем;Текст инцидента;Тема
Социальное обслуживание и защита;мать с 3 несовершеннолетними детьми, дак может правда вы хоть что-то будете делать или;Аварийное жилье/переселение
Благоустройство;с жителями не умеют разговаривать. Или танцуйте под нашу дудку или снесём всё к чертям. При этом! Детская площадка расположена на их же муниципальной территории. И потом они пишут красивые циферки в местах массового пребывания людей.4 года прошло и пустота. Уже нет желания вообще думать об этой теме. Подшаманили сами, старьё покрасили, подварили и чёрт с ним. Может быть придут когда-то власти, которые будут думать не только о том, как свои животы набить, но и о маленьких жителях г.Перми.Сообщение №3528: Некачественное содержание детской площадкиДетская площадка между домами Докучаева 22, Докучаева 24 и Костычева 37. Не относится по территории не к одному дому. Стоит на городской земле. В связи с чем не обслуживается,;Отсутствие детских площадок
Экономика и бизнес;В ГОРОДЕ СОЛИКАМСКЕ;Цены и ценообразование
Газ и топливо;газового оборудования по программе догазификации г.Нытва,частный;Запрос на газификацию и её условия
Коронавирус;которых сейчас развёрнуты койки под короновирусных?;Коронавирус
Образование;Пермский край главврач Конев Р А?;Кадровые перестановки
Коронавирус;ли сейчас контактных на карантин, если у;Самоизоляция и карантин
Социальное обслуживание и защита;подавала 10 мая;Дети и многодетные семьи
Памятники и объекты культурного наследия;из самых впечатляющих памятников архитектуры, построенный в 1906 году? Такая;Памятники и объекты культурного наследия
ЖКХ;назад???? Вопрос к администрации! Заранее нельзя было;Отсутствие электричества
Благоустройство;9вечера. Надеемся на решение;★ Неисправные фонари освещения
Здравоохранение/Медицина;в данной ситуацией.;Ошибки врачей, халатность
Общественный транспорт;поделиться ситуацией произошедшей сегодня утром 14.12.2022г.я стоял на остановке по улице фестивальная и ждал автобус на работу.Автобус следуемый по;Некорректное поведение водительского состава
Культура;конкурсов и условиях участия в;Учреждения культуры
Благоустройство;рабочие из ЖелДорСервиса не могут доделать;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Государственная собственность;исправляют свои ошибки. Или вы лично будете;Региональное имущество
Дороги;сегодня не поленилась и прошла весь путь вдоль проезжей части .;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
Благоустройство;коляской и двумя детьми тем более пройти нереально.;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Газ и топливо;день, кому даются;Стоимость, оплата и возврат средств на газификацию
Физическая культура и спорт;мечтать, когда построят эти дома. Бассейн бы и для детей что чтобы построили . А кто;Строительство спортивной инфраструктуры
Общественный транспорт;были вынуждены стоять с 3-годовалыми малышами, это при;Изменение класса и количества автобусов
Здравоохранение/Медицина;на Шоссе Космонавтов 108 и какая;Вакцинация
Физическая культура и спорт;стадион Молот почему промолчали?Его нужно ремонтировать и восстанавливать на;Ремонт спортивных учреждений
Образование;планируют размещать детей?;Нехватка мест в школах
Образование;но вчера ее вызвала классный руководитель и сказала, что стипендию отменили для тех, кто учиться платно. это правомерно? лично я ничего в интернете;Выплаты стипендий
Социальное обслуживание и защита;не выписывают, только;Создание доступной среды для инвалидов
Образование;холодина невозможная, ребёнок заболел! Вот они - вышестоящие органы и;Проблемы с отоплением детских садов и школ
Здравоохранение/Медицина;дают только пожилым и;Льготные лекарства
Мусор/Свалки/ТКО;доступе проект контейнерной;Строительство объектов по обращению с отходами
Социальное обслуживание и защита;'Извините я ответа;Улучшение жилищных условий
Строительство и архитектура;этот ужасный барак;Строительство зданий
Коронавирус;края], Вы пишите, что для ревакцинации можно поставить только первый компонент, а в поликлиниках и мобильных пунктах говорят, что;Порядок и пункты вакцинации
Здравоохранение/Медицина;поликлинике всё исправили так как сказала врач или мед.сестра (они не представляются). вечером позвонили в КО, пригласили маму на завтра к 10 часам.28.07.2022(четверг)приходим к 10 часам в прием. отделение, опять не принимают, говорят, что были КОВИДНЫЕ, сейчас палаты обрабатывают, отправили домой со словами приходите завтра!!!29.07.22г.(пятница) пришли к 10 часам, в приемном отделении кардиологии молодой мужчина (врач или мед брат они отказываются представляться), сказал, что вашей фамилии нет в списках, принять мы вас не можем (напомню в направлении Cito!), посмотрел направление, сказал, что не правильно написан диагноз, надо написать вместо НЕстабильная стенокардия- СТАБИЛЬНАЯ стенокардия, отправил в поликлинику! Я сказала, что мы уже 4 дня к вам ходим, каждый день разные отговорки и я буду жаловаться на такое отношение к пациентам в страховую компанию и в министерство здравоохранение, спросила его фамилии, он отказался мне её назвать. Позвонил при нас заведующей отд, она видимо ответила, что принять пациента, а я в это время сама съезжу в поликлинику для смены диагноза в направлении. Пока я ездила, маме провели осмотр и сделали ЭКГ,сказали: У вас инфаркт, мы здесь инфаркты не лечим!!!В итоге всё таки положили в КО, так как у мамы поднялось АД до 175.Я ПРОШУ оказать содействие в решении полного обследования моей мамы, которая в настоящее время находится в ГКБ;Хамство медицинских работников
ЖКХ;и за мусор. Уже не один месяц;Сборы за капитальный ремонт
Памятники и объекты культурного наследия;деле есть чем гордиться. Но самая главное достояние это металлургический завод и его Лысьвенские каски. Почему бы не;Памятники и объекты культурного наследия
Благоустройство;оголенные,одни скамейки,и верните,наконец инфраструктуру в город,наведите порядок с жкх ,вот ,если вы сделаете это,народ вам точно благодарен;Вырубка деревьев, кустарников
ЖКХ;ул.Мира 4.Мне 74 года не получаю льготу по ФКР,задолжности по платежам в Фонд не имею Очень прошу;Сборы за капитальный ремонт
Электроснабжение;нет- не известно. г.Пермь, Кировский район ул.Кировоградская (около бывшего лагеря Фортуна).;★ Повреждение опор ЛЭП
ЖКХ;4 подъезде тоже не моют не подметают а давайте напишем заявление;Ненадлежащая уборка подъездов и лифтов
Коронавирус;Номер телефона 214-00-14.Опять нас;Проблемы в работе горячих линий
Государственная собственность;служебным обязанностям. Кроме того пусть за свой счёт организации выполняющие работы исправляют свои ошибки. Или вы лично будете охранять дом когда уберут полисад, потому то будут лазить неблагосостоятельные граждане? Их к сожалению на районе хватает. А я целыми;Региональное имущество
Здравоохранение/Медицина;одной деревне. Работает на ФАПе на;Социальная поддержка медперсонала
Дороги;нет , одни отписки.;Подтопление автомобильных дорог
Общественный транспорт;у Гознака в аховом состоянии! Темнота, невозможно спуститься! Сейчас все занесло снегом. Просто каменный;Пешеходные переходы и жд переезды
ЖКХ;подъездов и в самом подъезде очень много крыс. Не возможно ходить. двери в подъезд не закрываются, и поэтому воруют ящики для писем и квитанции. Пожалуйста пересмотрите ситуацию с этим домом!;Ненадлежащая уборка подъездов и лифтов
ЖКХ;- 1 подъезд;Дезинфекция МКД
Благоустройство;рядом детская площадка;Вырубка деревьев, кустарников
Коронавирус;В каких медицинских учреждениях;Доступность вакцин
Спецпроекты;будет заместо Гончарова?;Спецпроекты
Здравоохранение/Медицина;предупреждать фельдшера о своих внеплановых проверках ФАП? И как часто должно;Профильный осмотр
Дороги;, когда будут делать лыжнороллерную трассу, в итоге ее делают в Култаево ,как мы поняли, а мы без света!!! Огромный Кировский и часть Дзержинского районов и не можем вечером после;Освещение неисправно или отсутствует
Дороги;от дороги, чем поставлены;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Дороги;'Здравствуйте. Подскажите пожалуйста когда почистят тротуары в городе?;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Благоустройство;'Почему микрорайон Новые;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Благоустройство;спиливают деревья и лежат эти огромные стволы;★ Нарушение правил уборки и вывоза порубочных остатков
Коронавирус;экмпресс тест дал положительный результат. Это относится к диагнозу;Тесты на коронавирус
ЖКХ;огромные суммы за отопление .;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;'Ехать через весь город? В нашей амбулатории диспансеризацию не пройдёшь.;Диспансеризация
Благоустройство;нас ездить по реке Лысьва на;Парки и зоны отдыха
Погребение и похоронное дело;цветы, венки и ограждения! Памятники;Погребение и похоронное дело
Здравоохранение/Медицина;какие профессии попадают;Здравоохранение прочее
Благоустройство;по обеим сторонам улицы широкие .до дороги большое расстояние почему бы не поставить скамейки .а ведь старые;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Коронавирус;старая инфекция! И;Порядок и пункты вакцинации
Мусор/Свалки/ТКО;у дома, по этому;Выброс мусора нарушителем
Благоустройство;территория от Чердынской, 13 до Чердынская, 18? Что тротуар, что дорога;Благоустройство придомовых территорий
Общественный транспорт;резина желать лучшего.вот;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Благоустройство;появляться тротуары вместо тропинок и обочин, а тропинка между сквером им. П. Морозова (который, считаю, следует переименовать в сквер погибшим в гражданскую анархию 90-х;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Благоустройство;разберут этот страх;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Образование;края по КОВИДу я смотрел, там говорили то, то что и так всем понятно. Возможно ли принимать меры ЛЮБЫЕ;Социальная поддержка учителей
Дороги;снег уйдут эти рытвины, канавы, недоделанный плиточный тротуар? Он же;Содержание, ремонт и обустройство тротуаров
Благоустройство;течет вода. Водоканал 2 раза копал , ставил заплатки, но все бестолку . Трубу менять не хотят , вода все течет , в связи с наступившими холодами все заледенело , скоро можно будет каток открывать . Интересно ,;★ Подтопление территории
Образование;губернатору Пермского края, по;ВУЗы и ССУЗы
ЖКХ;не дешево . приехал трактор и не смог выкопать нужную глубину . через 2 мес приехал другой ,но тоже не выкопал . вот поэтому и обратилась . без воды;Подключение к водоснабжению
Образование;пожалуйста, как онлайн подать заявление на;ЕГЭ, ОГЭ
Социальное обслуживание и защита;'где можно посмотреть вакансии для;Занятость и трудоустройство
Физическая культура и спорт;необходима реконструкция НОВОГО бассейна? Кто одобрил такой;Ремонт спортивных учреждений
Благоустройство;сгнивающие букеты у Вечного;Уборка территорий
Благоустройство;не следит за уборкой снега;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Коронавирус;38 и 8?;Тесты на коронавирус
Благоустройство;вода. Водоканал 2 раза копал , ставил заплатки, но все бестолку . Трубу менять не хотят , вода все течет , в связи с наступившими холодами все заледенело , скоро можно будет каток;★ Подтопление территории
ЖКХ;когда будет капремонт дом 🏠 121 ул. Лядовская? А именно ремонт фасада, наружных стен, отмостки,;Сборы за капитальный ремонт
Общественный транспорт;меня удобство, в;Добавить новый маршрут
Социальное обслуживание и защита;пособие с 3 до;Оказание гос. соц. помощи
ЖКХ;жалобу, соседи делают ремонт,;Перепланировка и реконструкция помещений
Социальное обслуживание и защита;бы убрать находиться рядом со школой;Аварийное жилье/переселение
ЖКХ;в г. Губаха, по адресу ул. Никонова,;Отсутствие горячей воды
Коронавирус;действует куар код?;Сертификаты и QR-коды
ЖКХ;давно бежит грязная;Плохое качество воды
Газ и топливо;поводу проведения газа, как многодетной;Запрос на газификацию и её условия
Образование;здоровых мужиков сидят в органах.Кого они;Безопасность образовательного процесса
Благоустройство;сети за рынком Гача?;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Строительство и архитектура;заставили собственников снести оставшиеся гаражи.> Гаражи находятся в частной собственности, администрация к ним никакого отношения не имеет. Обеспечение сохранности имущества - задача собственников. Если вам;Состояние зданий учреждений и организаций
Роспотребнадзор;теперь вдвое больше станет. Непонятно, что делать тем, кто пришел без признаков ОРВИ.;Санитарно-эпидемиологическое благополучие
Дороги;сигнала светофора на перекрёстке;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
ЖКХ;трубку. Хочу справедливости. Получается целая улица;Подключение к водоснабжению
Государственная собственность;'Сообщение без текста;Региональное имущество
Общественный транспорт;была из-за ковида.Ездила в Аитково ,обратно поехала на автобусе,когда ездил Кабышев в автобусе было чисто.А сейчас;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;оплата предписаний школе и т.д.).Вопрос 3. Почему у нас проблемы в крае в основном решаются постфактум. например с ковидом, знали, ожидали рост заболеваемости. В итоге закрыли позже на неделю. А уже рост заболеваемости. В автобусах - они переполненные. Заседание правительства края по КОВИДу я смотрел, там говорили то, то;Социальная поддержка учителей
ЖКХ;все молчат как;Завышение платы за коммунальные услуги
Дороги;дороги, чем поставлены;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Общественный транспорт;проезд на общественном транспорте,то платить за Эспд;Льготы на проезд и тарифы
Мусор/Свалки/ТКО;'А тряпье где можно;Раздельная сортировка отходов
ЖКХ;управлении Яйвадом,иными словами Администрации;★ Затопление подъездов, подвальных помещений
Общественный транспорт;по Барде расписание;График движения общественного транспорта
ЖКХ;как обухом по голове! Цена на отопление подскочила на 40%.Только не надо ссылаться на Постановления Министерства. Они носят чисто рекомендательный характер. В такое непростое время и такое вытворять!;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;люди могли проходить лечения. Лучевой терапии нет в г. Губаха. Зато стоят все в Перми. О людях никто не думает. Одно хочу сказать,;Нехватка материально-технического обеспечения
Коронавирус;берет. Закройте мне;Проблемы в работе горячих линий
Благоустройство;в этом году подремонтировать дорогу на Кутузова и, сделать свет но увы, скоро снег растает и;Отсутствие фонарей освещения
Коронавирус;Сажают ли сейчас контактных на карантин, если у них нет никаких признаков?;Самоизоляция и карантин
Благоустройство;парковки собираетесь, треть всех их;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;Вот я живу в Кировском районе. Где дома положили новый асфальт. В 2019/20.А где я;Некачественный капитальный ремонт
Здравоохранение/Медицина;пишет автор поста.При этом ранее в этой же больнице пациентам выдали постельное белье;★ Питание в медицинских учреждениях
Дороги;'Ещё и освещения нет;Организация переходов, светофоров/Изменить организацию движения
ЖКХ;'Обращение от читателейПо адресу Комарова, дом 4 после таяния снега уже пятый год затопляет верхние этажи. На жалобы управляющая компания не реагирует. Помогите, пожалуйста...Как заставить УК;Залитие квартиры
Образование;результаты распределения путевок?;Детские оздоровительные лагеря
Благоустройство;Леонова не по одному, даже не по два за;Нарушение правил проведения земляных работ
Здравоохранение/Медицина;записаться к стоматологу через гос услуги;Технические проблемы с записью на прием к врачу
Образование;из-за роста числа;Дистанционное образование
ЖКХ;лето а с наступлением осени началось в сезон дождей крыша течёт видимо от сырости в кухне от потолка и до пола пошла трещина а когда я увидела что прям по квартире бегают мыши я охренела;★ Протечки с кровли (системы водостока)
Здравоохранение/Медицина;'Здраствуйте, разберитесь пожалуйста,с питанием в перинатальном центре. Дочь лежит на сохранении у них стабильна ситуация, что элементарно не хватает супа в обед и второго;★ Питание в медицинских учреждениях
Социальное обслуживание и защита;'Добрый день, подскажите, пожалуйста, получают ли дети инвалиды новогодние подарки или приглашения на ёлку в этом году?;Инвалиды
Благоустройство;по два за лето, а по три и четыре;Нарушение правил проведения земляных работ
ЖКХ;117,80руб.начислили,100руб.тариф утвердили. Жду;Сборы за капитальный ремонт
Мусор/Свалки/ТКО;обеденное время и сон час для детей, они вздрагивают от грохота, что может повлечь заикание ребенка и нервный тик во время резкого пробуждения от резких и громких звуков.С нашей стороны строительный мусор закончился и разбор дошел уже больше чем до половины дома. Просьба, чтобы подрядчик с нашей стороны строительный мусор больше не;Выброс мусора нарушителем
Общественный транспорт;Еще и пересадки;Изменить или отменить маршрут
Образование;планируют размещать детей?;Нехватка мест в школах
Мусор/Свалки/ТКО;направьте нпа по расчету;Плата за вывоз ТКО
Благоустройство;дождя!!! А лопухи какие, а ограждения из старых кроватей!! Любуемся ежедневно!! Пять;★ Ямы во дворах
Здравоохранение/Медицина;каши дают. Которые дети совсем;Льготные лекарства
Электроснабжение;с проводами, обесточены или нет- не известно. г.Пермь, Кировский район ул.Кировоградская (около бывшего лагеря Фортуна). На тротуаре.;★ Повреждение опор ЛЭП
Здравоохранение/Медицина;ковидном отделение, оттуда нас перевели в больницу по месту прописки в детское отделение , в выписке написали что сатурация у нас 90-93 , но это только в положении сидя, а лёжа у нас 82-84 , даже лёжа;Ошибки врачей, халатность
ЖКХ;бы сбросить снег с крыши (ледяные глыбы были толщиной почти 0,5 м и грозились упасть) На данный момент снег скинули подействовали жалобы в администрацию Сейчас они;Жалобы на управляющие компании
Образование;могут решить, из года;Проблемы с отоплением детских садов и школ
Здравоохранение/Медицина;мы даже медики сами пройти не можем очередь большая, я сказала подожду поставьте меня на очередь почему я из Чернушки не могу пройти,пожали;Нехватка материально-технического обеспечения
ЖКХ;'Почему в Вильве нет света? Мороженое;Отсутствие электричества
Коронавирус;будет доступна для пермяков?;Доступность вакцин
Дороги;#лысьва #березники #permcity;Ливневые канализации (строительство и реконструкция)
Коронавирус;мне дуре, зачем ставить;Коронавирус
ЖКХ;не делали ремонт в;Ремонт подъездов
Физическая культура и спорт;'Когда окончание по времени праздники;Спортивные мероприятия
Здравоохранение/Медицина;Половину лекарств покупали;Отсутствие лекарств в стационарах
Благоустройство;"ямах, после дождя пройти по""морю"" не возможно.";★ Ямы во дворах
Благоустройство;нельзя начать ремонт раньше , если суды закончены. Сейчас начнется сезон дождей и вся вода вместе с грязью с дороги польется в наши дома. Кто будет оплачивать счета за потраченную эл. энергию, потому;Уборка территорий
Благоустройство;нашего дома ул. Мира -18, а через дорогу напротив нас;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
ЖКХ;не вернёт деньги то что покупаем воду. Почему мы должны набраться терпения и ждать когда устранят эту проблему!? Говорили за 2 дня управятся в итоге они видите ли не успевают, что рабочих не хватает ещё, а мы то причём!? Решайте, чтобы народ не возмущался! Сегодня подошли к этим рабочим,;Подключение к водоснабжению
ЖКХ;делают ремонт, ломают стены;Перепланировка и реконструкция помещений
ЖКХ;с крыши и они нас. Звонили;★ Протечки с кровли (системы водостока)
Здравоохранение/Медицина;неплохо открыть ФАП. 🤔;Предложения по созданию лечебных центров
Благоустройство;пожалуйста во дворе тополинные дерева. Не возможно открыть ни окна, ни балкон.;Вырубка деревьев, кустарников
Коронавирус;это стоимость каждого анализа 1600р.,;Тесты на коронавирус
Электроснабжение;ИНТЕРЕСНО узнать ИТОГИ и главное причину и КАК ЭТО;Качество электроснабжения
Дороги;ул. Сурикова течет по обеим сторонам ул. Химиков вдоль проезжей дороги. При отсутствии тротуара жители, которые идут на остановку автобуса № 44, должны ходить по обочине проезжей дороги. Но по обочинам текут ручьи. Разгребите, пожалуйста, запруду. Ходить на;Подтопление автомобильных дорог
ЖКХ;сосульками беда. Их никто не сбивает. Крыши не чистят. Страшно;★ Наледь и сосульки на кровле
Благоустройство;дороги рассчитана на 1;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Мобилизация;30 октября. Выплата так и не поступила.;Зарплата, компенсации, поощрения, выплаты
Здравоохранение/Медицина;'В Александровске почините!!!! Позорище. Миллионы на новогоднюю елку, а в поселках люди без медицины и;Содержание больниц
Благоустройство;если вы меня не слышите . почему не чистят тротуар по ул Чапаева от улицы проспекта;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Строительство и архитектура;много вывесок?Скажу Вам как есть мы тоже цветочный магазин , находимся прямо под ними. После того как мы;Архитектура города
Торговля;"РАЗОБРАТЬСЯ !ЧТО ЗА КИОСК """;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Образование;пятницу в 21.00 пришел результат отрицательный. Сегодня ребенка отправила в школу. Скажите, в школе могут потребовать справку,;Содержание гос. образовательных организаций
Благоустройство;одной лавочки поседеть, полюбоваться.. Я уже молчу о подходе к поде и пляже..У нас ТАКАЯ ПРИРОДА КРАСИВАЯ! Только обиходить... И всё.. Чем отличается заграница? Только порядком и отношением к тому, что имеют..Англия вообще на болоте;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Дороги;работает, спасибо. Но фонари явно;Освещение неисправно или отсутствует
ЖКХ;осмотр подвала и подтвердил хлам , кладовки в подвале , мертвые животные кошки;Дезинфекция МКД
ЖКХ;как быть тоже!? Нам никто не вернёт деньги то что покупаем воду. Почему мы должны набраться терпения и ждать когда устранят эту проблему!? Говорили за 2 дня управятся в итоге они видите ли не успевают, что рабочих не хватает ещё, а мы то причём!? Решайте, чтобы народ не возмущался! Сегодня подошли к этим рабочим, машут руками, ничего конкретно сказать не могут, что за организация делает отказались говорить нам 😏. Но главное терпение ответили....хорошо - Завтра обратимся в областную прокуратуру, пусть они обьяснят могут ли при ремонте оставлять людей без воды больше двух;Подключение к водоснабжению
ЖКХ;воду с нового водозабора или так и будет снабжаться от Заболотинского?;Подключение к водоснабжению
Физическая культура и спорт;будет ли в этом году велопробег;Спортивные мероприятия
Строительство и архитектура;на ремонт домов.Стыдобище.;Архитектура города
Роспотребнадзор;в наше время в каких антисанитарных условиях могут жить дети и пожилая женщина, за ней смотрит как бы её внучка которая проживает вместе;Санитарно-эпидемиологическое благополучие
Образование;болеет один воспитатель?;Общее впечатление
Общественный транспорт;и пересадки платные;Изменить или отменить маршрут
Социальное обслуживание и защита;ни кто со мной не связался;Соц.обслуживание прочее
Мусор/Свалки/ТКО;"г. Пермь, ул. Новоржевская дом.5, во дворе установили мусорные баки. Причём нет никакого бетонного или асфальтированного пьедестала, выступающего над уровнем земли на 10-20 см; площадка не ограждается с боковых трех сторон забором. Баки просто стоят по середине двора, а у нас много маленьких детей проживает. Мусорные баки -это крысы и бродячих собаки. Помогите либо облагородить и огородить площадку, либо перенести её в другое место, за границы двора,";★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;поможете.Между домами Яблочкова 31 и Яблочкова 29 проходит асфальтовая дорожка, по которой ежедневно проходят люди с детьми. Катят;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Газ и топливо;лет назад начали нынче хотят;Сроки газификации
Социальное обслуживание и защита;месяце мне не поступали пособия на детей маленькие 229 р, 457 и 459 р.?;Дети и многодетные семьи
Дороги;между трамвайными рельсами так и остались. И;Ремонт дороги
Благоустройство;'Пермь г, +79048481963. ;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Дороги;в деревне Верх Ашап, течет маленькая речка, а там труба на дороге, и вода всё размыло,;Строительство или реконструкция дорог
