Группа тем;Текст инцидента;Тема
Благоустройство;детям даже негде погулять ,обратите пожалуйста на это;Отсутствие детских площадок
Благоустройство;не на одном столбе не;★ Неисправные фонари освещения
Дороги;и послушать их решение;Предложение дороги в план ремонта
ЖКХ;Репина 2б та же самая история. Давно;Жалобы на управляющие компании
Общественный транспорт;работы не 50р ( хотя бы ) ,а 66р., да еще;Проблемы с социальными картами или проездными документами
Дороги;сняли. Но обратно не вернули! Всё? Поиграли в безопасность и хватит?;Предложить установку нового лежачего полицейского (ИДН)
Электроснабжение;заявками по свету;★ Повреждение опор ЛЭП
Газ и топливо;президента Путина В. В. О;Стоимость, оплата и возврат средств на газификацию
Памятники и объекты культурного наследия;- пишет автор;Памятники и объекты культурного наследия
Коронавирус;болеет более 60%,закроют ли;Самоизоляция и карантин
Дороги;Там дорог нету.;Ремонт дороги
Социальное обслуживание и защита;пенсионному фонду с;Соц.обслуживание прочее
Благоустройство;к большому сожалению не хотят видеть под своими окнами детскую площадку.;Отсутствие детских площадок
Электроснабжение;заявками по свету в частном секторе,и столбами которые вот вот упадут;★ Повреждение опор ЛЭП
Спецпроекты;Какие вопросы? Кто;Спецпроекты
Здравоохранение/Медицина;поднять, думай сама. Ещё и в Гугл ищют что прописать. Ей во время беременности поднять;★ Просьбы о лечении
Погребение и похоронное дело;кладбищ в г.Гремячинске?;Погребение и похоронное дело
Благоустройство;территорий на которых можно посадить новые деревья!!! Ни;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Физическая культура и спорт;дома построили спортивную;Строительство спортивной инфраструктуры
Общественный транспорт;проехать с пересадкой, а оказывается нельзя, пришлось платить ещё 33р. ((66р. заплатила за проезд в;Льготы на проезд и тарифы
Благоустройство;дорогу. Инженерная 10.;Уборка территорий
Социальное обслуживание и защита;хочу работать как быть;Занятость и трудоустройство
Дороги;улиц в центре города, снег не вывозится, дороги слились;★ Несоблюдение правил уборки проезжей части
Безопасность;Очерского округа. Все, кто желает оказаться помощь беженцам Донбасса могут перечислять денежные средства;Беженцы
ЖКХ;дома Уральская 12!Подъезд заколочен, снегом заметен, а СВЕТ ГОРИТ В ПОДЪЕЗДАХ!!!Для кого? Бомжи живут???;Ненадлежащее содержание и эксплуатация МКД
ЖКХ;Не убирают месяца 2. Говорят что нет уборщицы. Адрес 30;★ Засор в общедомовой системе водоотведения (канализации)
Благоустройство;и все на этом ,;Нарушение правил проведения земляных работ
Общественный транспорт;ПОЛУЧИЛОСЬ. НАДЕЕМСЯ НА ЛУЧШЕЕ;График движения общественного транспорта
ЖКХ;с таким вопросом: со вторника 21 июня по адресу Целинная 23 течет сначала вода, а теперь канализация с 5 этажа до первого, говорили нет доступа в комнату, но ключи от всех комнат есть у консьержа, в УК КОД никаких мер не принимают, вся;★ Прорыв трубы/трубопровода
Социальное обслуживание и защита;пенсионном фонде увеличение;Социальные учреждения
Социальное обслуживание и защита;до 7 лет. Пока нет ответа;Дети и многодетные семьи
Общественный транспорт;что ??? Там то же работают люди, более 15 предприятий, а Администрации города и;Добавить новый маршрут
Дороги;этой глине, каждый день там люди ходят на работу, в школу, но никак это исправить не могут, уже который;Содержание, ремонт и обустройство тротуаров
Дороги;равнинной части от Тарасова переулка, вдоль поймы реки Кынок— до центра.С уважением, Павел Чернобров.;★ Несоблюдение правил уборки проезжей части
ЖКХ;уже больше часа.;Отсутствие электричества
Дороги;и рядом лес(((;Освещение неисправно или отсутствует
Образование;школа тоже? Зачем тогда деньги вложены были на постройку;Строительство школ, детских садов
Здравоохранение/Медицина;диспансеризация, что это?;Диспансеризация
Здравоохранение/Медицина;сама даже повернуться не может;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Электроснабжение;в частном секторе,и столбами которые вот вот упадут;★ Повреждение опор ЛЭП
ЖКХ;канализации, на заявки управляющая компания не реагирует, прошу помочь, принять какие то меры, т.к. уже;★ Засор в общедомовой системе водоотведения (канализации)
Мусор/Свалки/ТКО;решается этот вопрос?;Выброс мусора нарушителем
Мусор/Свалки/ТКО;вопросу строительного мусора. Как;Выброс мусора нарушителем
Образование;жалко их ???;Проблемы с отоплением детских садов и школ
Мусор/Свалки/ТКО;контейнерной площадки напротив;Раздельная сортировка отходов
Безопасность;поставлены на профилактический учёт.;Безопасность общественных пространств
Образование;математике?! В большинстве регионов, в том числе и Москве, уже известно. Неужели в Москве выпускников меньше? Или;ЕГЭ, ОГЭ
Дороги;в ужас.... Вчера стоял автобус 30;Пробки
Здравоохранение/Медицина;же нет сейчас,медицина развалена...поликлиники есть,врачей нет!!врачей хороших;Предложения по созданию лечебных центров
Здравоохранение/Медицина;молчит. С такой зарплатой;Низкая заработная плата врачей
"МФЦ ""Мои документы""";выборе темы обращения появляется неизвестная ошибка?;Государственные услуги
Газ и топливо;порядок действий? Вызывать газовою службу или покупать газовую плиту и;Запрос на газификацию и её условия
ЖКХ;сделают… а то что мы платим за горячую;Низкая температура воды/слабое давление
Здравоохранение/Медицина;медицинским работникам сегодня впрыскивали в;Вакцинация
Роспотребнадзор;в губахе остались родители. Приезжаю в гости и;Санитарно-эпидемиологическое благополучие
Общественный транспорт;состояние, соответствующее современному пониманию комфорта. Сейчас он холодный, плохоосвещённый. Эскалаторы можно сделать и тогда не надо будет вешать световое информационное табло внутри, как пользоваться подъемником тем, кто внутрь без него не;Пешеходные переходы и жд переезды
Благоустройство;день. У меня вопрос по строениям по улице Фрунзе. Стоят гнилые сараи(почти упали), никто не знает кто;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
Благоустройство;на дорогу течет. Потом ее скребут и на газон кладут. Круговорот грязи в Перми;Предложение по благоустройству
Дороги;части в дождь и автомобилей в целях безопасности,;Необходима установка и замена дорожных ограждений
Дороги;решение о признании этого места теперь ставшего ( из- заЗабора) опасным.Т.;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Мобилизация;участия в СВО?;Поддержка семей мобилизованных
ЖКХ;льдом 🙈Новый водопад Плакун?На Гайве сосульки;Другие проблемы с общедомовой системой водоотведения (канализации)
Здравоохранение/Медицина;ступенькам , а инвалиды колясочники ????? Какое не уважение к людям , можно же наверное;Содержание больниц
Общественный транспорт;ПРЕДУПРЕДИЛИ Что у них в Костарево длителтеый обед (в расписании;График движения общественного транспорта
Социальное обслуживание и защита;начинание и вернуть;Занятость и трудоустройство
Образование;стоим в очереди, но хотелось бы;Устройство в ДОУ
Здравоохранение/Медицина;врачу надо родня простоять;Очередь
Коронавирус;можно написать жалобу?;Жалобы на врачей
Благоустройство;ещё один проезд и мы на него рассчитывали — построили новые дома рядом.;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Экология;какие то «молодцы», кинули шланг в реку. Местной жительнице подтвердили, что что-то сливают. Кто-то;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Образование;узнать к кому можно обратиться по вопросу невыплаты стипендии за целевое обучение.В договоре номера телефонов,адреса;Выплаты стипендий
Общественный транспорт;поездки до 28;Льготы на проезд и тарифы
ЖКХ;как правильно застеклить балкон. Нужны;Перепланировка и реконструкция помещений
Коронавирус;г, +79504405610. Где узнать;Тесты на коронавирус
Мусор/Свалки/ТКО;начала этой недели не вывозят мусор ул.Школьная 9. Постоянные проблемы с очисткой;★ Уборка/Вывоз мусора
Социальное обслуживание и защита;частности, из ВТБ;Волонтерство
Дороги;'Сообщение без текста;Ливневые канализации (строительство и реконструкция)
Дороги;на героев хасана;Некачественно выполненный ремонт дорог
Благоустройство;в течение часа раздалбливала и освобождала проход к дому.Я все понимаю, но что так копить было.;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Здравоохранение/Медицина;на эко или;Содержание больниц
Безопасность;много, страшно ходить;Отлов безнадзорных собак и кошек
Дороги;надо выполнять. А еще надо навести порядок с движением машин с троуаров на тротуар по грунтовке. Ездить по тротуарам нельзя, но постоянно нарушается, особенно, у дома Пр. Победы,;Организация парковок
ЖКХ;оди 2 раза в месяц2. Прочитка;Ненадлежащая уборка подъездов и лифтов
Строительство и архитектура;При этом все ответственные лица других районов такую работу ведут и весьма;Архитектура города
Физическая культура и спорт;на Лёгкоатлетическом забеге 9 мая? На 5;Спортивные мероприятия
Здравоохранение/Медицина;"от ост.""уралкалий"" вверх по Свердлва-уму непостижимо!А на Деменева-не лучше!Где-то в";Предложения по созданию лечебных центров
Здравоохранение/Медицина;йогурт, творог, кефир. Мы живём в октябрьском районе. Почему наши дети не могут получать эти же молочные продукты, нам приходится это все покупать. Если у нас нет молочной кухни, почему нет другой альтернативы. Или на перефирию не выделяют средства. Объясните пожалуйста эту;★ Питание в медицинских учреждениях
Общественный транспорт;табло внутри, как пользоваться подъемником тем, кто внутрь;Пешеходные переходы и жд переезды
ЖКХ;такая же ситуация на Ленина 57 крыша течёт;★ Протечки с кровли (системы водостока)
ЖКХ;не доделки устраняться;Подключение к водоснабжению
Здравоохранение/Медицина;чайковского35,ужасная еда,санитары грубят,могут ударить.в гардеробе воруют личные вещи.;★ Питание в медицинских учреждениях
Благоустройство;'Сообщение без текста;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Дороги;например, днём или;Пробки
Социальное обслуживание и защита;многодетным? Или только;Дети и многодетные семьи
Дороги;же нормальный 👹👹👹👹👹👹👹;Ремонт/строительство мостов
Образование;'В 6 школе;Питание
Общественный транспорт;что есть свой автобус. Пусть до него больше часа. Мотивируют тем, что в Яйве будут пассажиры. Но;Некорректное поведение водительского состава
Образование;ждёте когда школа в;Строительство школ, детских садов
Дороги;светофор и решена проблема;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Социальное обслуживание и защита;8 до 17?;Дети и многодетные семьи
Образование;новой школе холодно,;Проблемы с отоплением детских садов и школ
ЖКХ;"""Путину капут"" на асфальтной дорожке.";★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
Дороги;вечер ,идти по улице быстрых начиная с дома 26 и заканчива на быстрых 14,жутко идти .Очень темно .Примите меры;Освещение неисправно или отсутствует
Благоустройство;просьбу до конца месяца, но возможны передвижки в графике, так как полным ходом идет подготовка к майским;★ Ямы во дворах
Экология;объект , почему в очередной раз администрация обошла;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Здравоохранение/Медицина;появится тироксин и эутирокс??? Обещали к;Отсутствие лекарств в аптеках
Дороги;На зимний период сняли. Но обратно не;Предложить установку нового лежачего полицейского (ИДН)
ЖКХ;кому обращаться, если в подъезде лежат шприцы? Давно ничего подобного не видел;Ненадлежащая уборка подъездов и лифтов
Строительство и архитектура;ужасном виде одни квадратные коробки никакого разнообразия архитектурного и город совершенно не украшен одни флаги по 20 штук на каждом углу, а где красота?? Вот город просто засрали с тех пор как трутнев уехал и перестал быть мером.. За киоска и вообще не слядят чтобы они как;Архитектура города
Строительство и архитектура;по строившему дому у 1 школы и какие будут квартиры. Спасибо;Строительство зданий
Физическая культура и спорт;забеге 9 мая? На 5 км?;Спортивные мероприятия
Коронавирус;госпитализации при отсутствии ПЦР;Коронавирусные ограничения
Здравоохранение/Медицина;часа скорая не;★ Скорая помощь
Образование;ли изменения в охране школ;Безопасность образовательного процесса
Дороги;дороги у нас в городе, яма;Ямы и выбоины на дороге
Благоустройство;лежит дерево после;Уборка территорий
Здравоохранение/Медицина;,вот она ,придите,поглядите,деньги отмыли,ремонт в коридорах;Нехватка материально-технического обеспечения
Дороги;привело к зауживанию проезжей части и решение о признании;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Образование;'+1+2 здорово, а отопление нет даже;Проблемы с отоплением детских садов и школ
Здравоохранение/Медицина;регистратор. Женщина в возрасте, если она устала и;Хамство медицинских работников
Газ и топливо;к газификации. 06.11.2021 г. я;Запрос на газификацию и её условия
Безопасность;конструкции? Дом расселили и никто не следит-постоянно наркоманы, бомжы, алкоголики и огромная свалка мусора. Также;Безопасность общественных пространств
ЖКХ;собрали, отправили на Клары Цеткин 10А, но в ответ тишина.;Ремонт подъездов
Образование;Очный? Тогда откуда дистант взялся? На каком основании его ввели? У нас санитарный врач решает исполнять закон или;Дистанционное образование
Благоустройство;как придётся. В случае чего, ни;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Общественный транспорт;1 маршруте особо большие автобусы и где они? 18 бы продлили до;Изменение класса и количества автобусов
Дороги;Больше 10 лет от Бумажников 20 до;Освещение неисправно или отсутствует
Здравоохранение/Медицина;дени на приемаз сидит,;Нехватка или сокращение врачей и медицинских учреждений
Благоустройство;сдвинуть забор,.. вдоль тротуара. Учащиеся прятаться,;Самовольная установка ограждений на территории общего пользования
Общественный транспорт;наверное знаете как;Добавить новый маршрут
Благоустройство;'Были бы урны, можно убрать. А так говно в кармане;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
ЖКХ;нагрев горячей воды в МКД Теплоэнерго берёт по тарифу отопления? За три куба — 500 рублей.;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;отношением как в Машзаводской поликлинике;Хамство медицинских работников
Здравоохранение/Медицина;лет на МСЭК скажут,а почему он 4 года нигде не наблюдался?Значит-здоров!Фиг ему,а не инвалидность!Это вам не шуточки!!!И им плевать будет,что в Кизеле нет детского психиатра!Решайте этот вопрос!!!или в прокуратуру уже надо обращаться?..((В том году возила его к губахинскому психиатру,так она только рецепты выписала;Нехватка или сокращение врачей и медицинских учреждений
Благоустройство;возможно.А вчера картину наблюдала, как ьрактор с забором детского сада дорогу чистил, вся пыль, песок,и прочая гадость на 4 метра вверх и по сторонам.Называется оздоравливайтесь дети и проходие, наполняйте лёгкие;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Общественный транспорт;"'[club57433185|Пермь Первая], павильон ""ул Колыбалова"" требует ремонта,посмотрите ка на этот";Содержание остановок
Благоустройство;На улице Петропавловской лестницы;Разрушение тротуаров и пешеходных дорожек
Образование;если будет какая либо драка воспитатели на это не реагируют, говорят что сами взрослые люди и в состоянии сами разобраться, если ребёнок болеет он помещается в изолятор где стоят двери и что бы попросить таблетку или сказать что ему плохо надо стучать в дверь, врачи могут подойти только спустя 20-30 минут, говорят что у них тоже есть своя работа или же то что ребёнок симулирует. Администрация города насколько я понимаю знает об этом и никак не реагирует в общем находиться детям тут;Общее впечатление
Здравоохранение/Медицина;по программе земский;Социальная поддержка медперсонала
Благоустройство;отсыпали дороги,а по ул.;Нарушение правил проведения земляных работ
Дороги;перекрёстке у Ресторана Лысьва;Предложение дороги в план ремонта
ЖКХ;Губаха, ул. Космонавтов, 3, и чудом осталась жива!!! Снег и лёд, прилетевшие с крыши,;★ Наледь и сосульки на кровле
Дороги;той дороге ходят дети из 16 школы домой, дорога не освещенная и рядом лес(((;Освещение неисправно или отсутствует
Благоустройство;адресу Строителей 48. Это не у дороги и, к сожалению, соседние ТСЖ полностью перекрыли нам проезд. Сейчас мы можем подъезжать к дому только через дорогу, которая ведёт к базам. Там часто по утрам разгружают фуры. И мы просто оказываемся заблокированными. Чтобы ехать в сторону аэропорта, не обязательно а аэропорт, но просто в ту сторону, нам приходится объезжать порядка 2 км также через базы. Есть ещё один проезд и мы на него рассчитывали — построили новые дома рядом. Но это просто проезд из земли, не асфальтированный с огромными ямами и весной и летом с грязью и лужами, иногда вся дорога — это грязное болото. Очень нужна эта дорога от дома. Сейчас там построили два новых дома и мы уже не одни такие, которым приходится ездить только через базы. Если от нас;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Дороги;у нас проблема с трактороми забывают про;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
ЖКХ;'Это происходит не первый раз,еще когда Белобаржевский был главой. Они в курсе;★ Засор в общедомовой системе водоотведения (канализации)
Дороги;'когда сделают нормальный переход чапаева;Организация переходов, светофоров/Изменить организацию движения
Газ и топливо;а мы без Газа.....и помыться не можем т.к. стоят газовые колонки.Тоже обращались везде...но;Восстановление газоснабжения
Социальное обслуживание и защита;"дают звание ""Ветеран""?есть смысл бумаги";Пенсионеры и ветераны
Коронавирус;прививку от ковид-19;Порядок и пункты вакцинации
Торговля;стоит разбитый киоск прямо на тепловой камере. Интересно, если произойдёт порыв;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
ЖКХ;а за октябрь ( батареи;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;последние цифрыполиса но ни каких результатов. А может;Здравоохранение прочее
Благоустройство;обратиться если люди самовольно перекрыли сквозной проулок между;Самовольная установка ограждений на территории общего пользования
Связь и телевидение;связаться с компетентными;★ Информационно-техническая поддержка
Дороги;доброе дело, займитесь этой частью;Ямы и выбоины на дороге
Культура;'Здравствуйте. А салют будет на день;Учреждения культуры
Мусор/Свалки/ТКО;"дальше). До 2016 г. особых проблем не было, поскольку ближайшая площадка находилась у дома Комсомольский пр. 56, но жильцы этого тома организовали ТСН, огородили придомовую территорию, а контейнерную площадку перенесли внутрь своей территории. ООО УК ""Экском"" не участвует в делах собственников нашего дома, а только присылает квитанции на оплату, где есть строка - услуга по обращению с ТКО. Единственное их предложение -";Проблемы с контейнерами
Дороги;города Лысьвы], на ул Кирова;Некачественно выполненный ремонт дорог
Здравоохранение/Медицина;их у раковины ночью, отправила. Ответ пришёл незамедлительно, в котором писалось что нет доказательств,;★ Питание в медицинских учреждениях
ЖКХ;нет горячей воды?;Отсутствие горячей воды
Здравоохранение/Медицина;прописать. Ей во время беременности поднять гемоглобин помогли капельницы только, о чем было сказано. Они таких препаратов не знают. Это был ответ. Операция грубо говоря нужна была вчера. Миома растет очень быстро, дочь в Перми поставили операцию как внеплановую. Она работает поваром , на ногах больше 10 часов. На данный момент боли в;★ Просьбы о лечении
Физическая культура и спорт;подать заявку, чтоб во дворе;Строительство спортивной инфраструктуры
Социальное обслуживание и защита;'Добрый день!Пишу повторно...Сотрудница Мин. соц. Развития, Кировский;Соц.обслуживание прочее
Спецпроекты;контроля Управления Росреестра по Пермскому краю Моргун;Спецпроекты
Торговля;Мира, около дома 67 стоит разбитый киоск прямо на тепловой камере. Интересно, если произойдёт порыв отопления, то как;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Общественный транспорт;сторону Гайвы и;Содержание остановок
Общественный транспорт;вот и мечешся куда ткнуть! В;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Благоустройство;страница], почему я задала этот вопрос,потому что сам Лазейкин мне лично говорил когда они были на этой площадке я в это время гуляла с внуком,а насчёт камер если фиксирует ваша камера почему нет наказания на качелях между прочим сломаны замки сходите и проверьте пожалуйста и качеля,, черепаха тоже держится вот вот порвётся,,,,и ТД и ТП;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
Торговля;ул.Веденеева 86 у магазина семья , мало того что киоски;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Образование;же включить котельную на садик . У;Проблемы с отоплением детских садов и школ
Мусор/Свалки/ТКО;'Здравствуйте. Возвращаюсь к вопросу строительного мусора.;Выброс мусора нарушителем
Государственная собственность;'Здравствуйте.А есть час земельный участок для;Региональное имущество
ЖКХ;ли он право на льготы по оплате;Сборы за капитальный ремонт
Коронавирус;на сертификат и;Сертификаты и QR-коды
ЖКХ;с торца дома продуктовый магазин и детская площадка!!!Крысы грызут провода у припаркованных машин;Дезинфекция МКД
Благоустройство;комсомольский будут облогораживать? или так и будет прилесная зона? детям играть негде мяч в;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Дороги;"к вам обращалась по поводу дорожек на Ленина 59 ООО ""Стома"". Ремонт выполнен, но некачественно, сделали две аккуратные ступени, за что большое спасибо, а дальше лепёха асфальта под углом, что зимой приведёт к падению пациентов. Можно исправить";Содержание, ремонт и обустройство тротуаров
ЖКХ;администрацию, никакого ответа и никаких действий;Низкая температура воды/слабое давление
Общественный транспорт;маршрут грязь вообще, как можно такие автобусы выпускать на линию.От подписчицы#пермь #новости #сегодня;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Строительство и архитектура;конкурсы же все проводилось. В итоге люди купились на соцобьекты. А их и не думают строить. С одной стороны Уинской вместо двух садиков и школы построили один садик. С другой стороны школу четыре;Строительство социальных объектов
ЖКХ;ничего не видит, или не хочет видеть. Если есть;★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
Электроснабжение;а с введением освещения в зимний период;Качество электроснабжения
Газ и топливо;помыться не можем т.к. стоят газовые колонки.Тоже обращались везде...но воз и ныне;Восстановление газоснабжения
Социальное обслуживание и защита;краяВедь в Коспашском ПНИ все защищённые вакцинированные, привиты.Для чего закрывать!?🤔🤔🤔;Социальные учреждения
Социальное обслуживание и защита;"входят в указанные 350м от центральной остановки ""Учкомбинат"".Разворотов кольцо которое можно сделать,но почему не хотят,должно стать главным техническим аспектом для возможности появления нормального большого пассажирского автобуса с общегородским маршрутом для наших жителей.Анатолий Путин ,котрый рассуждает и руководствуются тем,что можно сесть на автобус 44 и доехать до остановки Учкомбината и пересесть на общегородской маршрут,не берёт в расчёт то,что у большинства жителей нет транспортной карты,и это прямое вынуждение платить дважды,и тем самым обогатить департамент транспорта.Вы же со своей стороны кидаетесь отписками ,что большой транспорт там не развернётся, а допустим пустить газель от департамента либо такой же малогабаритный автобус 44?вы игнорируете.Получается,что и кольцо вы делать не хотите, и неизвестно когда у нас ещё 2 новых дома построят с возможностью запуска общегородского маршрута не предоставляется возможным,и газель с пазиком вы пускать не хотите.Т е. Пожилые жители и мамочки с колясками для вас не люди.Мучайтесь на здоровье.Также уведомляю что лично от себя,напишу все письма в соответствующие инстанции,также я знаю что наш депутат Манин";Аварийное жилье/переселение
ЖКХ;выключили свет в Первомайском и когда включат?;Отсутствие электричества
Коронавирус;началось мракобесие, без прививки от COVID 19, отказываются заселять;Коронавирусные ограничения
Коронавирус;200 руб., но получить информацию так и не;Проблемы в работе горячих линий
Дороги;лепёха асфальта под;Содержание, ремонт и обустройство тротуаров
