Группа тем;Текст инцидента;Тема
ЖКХ;стороны улицы светлогорской сильный запах канализации;★ Прорыв трубы/трубопровода
Благоустройство;на остановке Гипсополимер в Индустриальном районе открыт люк прямо на проезжей части уже больше месяца.Могут провалится люди и машина колесо пробить;★ Открытые канализационные люки
Благоустройство;квартале улиц: работницы, Лебедева, Циолковского?Какая Перспектива у этого участка?;Парки и зоны отдыха
Благоустройство;будет свет? Улица Красных;★ Неисправные фонари освещения
Дороги;когда школьник пошел на зелёный водителю (по Маршала), так как не;Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Роспотребнадзор;Р. Землячки 8, ближе к ул. Лебедева расплодились крысы. УК Техкомфорт, которая отвечает за данную территорию утверждает что проводит дератацию.;Обработка и уничтожение грызунов (дератизация)
Здравоохранение/Медицина;поликлинике нет лекарств, как;Отсутствие лекарств в стационарах
Связь и телевидение;когда ожидать;★ Информационно-техническая поддержка
Образование;июле месяце, может ли школа 15 августа;Образовательный процесс
Дороги;всем пофигу, проще убрать и забыть как на посёлке 71 щас , стоят все под дождём и мокнут. Обещают в 2023 году сделать, а как щас то быть. Хотя бы временную какую нибудь установили на зиму. Беседку построить на;Освещение неисправно или отсутствует
Дороги;было, после дождей;Ливневые канализации (строительство и реконструкция)
Дороги;'Сообщение без текста;Предложение дороги в план ремонта
"МФЦ ""Мои документы""";на госуслугах висит больничный продлен и на работе не могут его распечатать дурдом . Говорит врач програма выдает ошибку а мне то;Государственные услуги
Дороги;Барнаульской до ж.д. переезда у ГСК, чтоб пробку;Пробки
Здравоохранение/Медицина;уровне бандерлогов. То;★ Питание в медицинских учреждениях
Благоустройство;пора его уже спилить? И тополиный пух уже заколебал!;Вырубка деревьев, кустарников
Социальное обслуживание и защита;на одном этапе. Вчера дозвонилась до начальника отдела Добрянки. Мы искали моё заявление, но не нашли... Обратилась в социальные выплаты, все рассказала, женщина все проверила и перезвонила, я указала не тот адрес😭😭😭заявление моё ушло не в добрянку, а в джерский район. Девушка сказала, срочно дозваниваться, до джерского района и попросить мне отменить заявление. Я сегодня с 9 утра звоню по 4 номерам, трубки не берут. Позвонила снова в;Дети и многодетные семьи
Здравоохранение/Медицина;можно поставить прививку ребенку от;Вакцинация
Газ и топливо;Газопровод по участку проводится до ближайшей точки фасада или до точки ввода;Запрос на газификацию и её условия
Дороги;чугунные декоративное ограждение. Воры вошли во вкус и уже тырят не только ограждения, Ну и выламывают под корень столбики которым когда-то были прикреплены ограждения.Но воры не ограничились одними лишь столбиками ограждениями: они также сняли профильный лист состоящий рядом с прудом контейнерной площадкой рядом с бывшим хлебозаводом. На железной раме остались только отверстия от саморезов. Воры были настолько уверены в своей безнаказанности, что оставили вокруг площадки множество следов когда снимали листы. Достаточно посмотреть сколько дней назад в Перми был снегопад и можно будет установить более-менее точно дату воровства.Другие случаи;Необходима установка и замена дорожных ограждений
Безопасность;это кошмар что, происходит выйте не возможна;Отлов безнадзорных собак и кошек
Благоустройство;всё. На остановке Троллейбусное депо последний раз был сломанный люк на которого наступишь случайно и перевернётся. Там вообще нет;★ Открытые канализационные люки
Образование;Юрша 64а (бывший детский сад 40) в группе 12-17 градусов!!! Дети ходят в;Проблемы с отоплением детских садов и школ
Благоустройство;в индустриальном районе улочка.. между домами Норильская 15 и чердынская 16. Улица не принадлежит ни городу ни УК ни ТСЖ . В ужасном состоянии из плит. Зимой её никто не чистит. Исковерканных машин не счесть, сколько в суды не обращайся,;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
Социальное обслуживание и защита;+79824506329. Почините, пожалуйста, пандус на перекрёстке ул.мира и ул.Дениса Давыдова. Там невозможно;Создание доступной среды для инвалидов
ЖКХ;осмотра колодцев, они и не знают, где они находятся? Летом , наш дом привели в более - менее хорошее состояние. Очистили подвал, отремонтировали холодное, горячее водоснабжение, наладили отопление. А сейчас из за;★ Засор в общедомовой системе водоотведения (канализации)
Мусор/Свалки/ТКО;секторе, район школы 107 и Верхние Муллы, жители ждут контейнера для пластика, но оказывается не так просто его поставить... Пожалуйста, услыште нас кто-нибудь...;Раздельная сортировка отходов
Строительство и архитектура;поскольку там не был). Там каждое второе здание развалины, которые никто не хочет отгорадить или снести, а там бывает дети;Состояние зданий учреждений и организаций
Благоустройство;около танка тоже парк большой. Стоят туалеты с одной стороны и с другой. Только вот они все лето закрыты... А нужны они тогда, если будут стоять закрытыми?;Отсутствие общественных туалетов
Благоустройство;дома красные казармы 64 все больше и;★ Ямы во дворах
Мусор/Свалки/ТКО;Постоянно воняет, появляются вокpуг таpаканы и кpысы, а лeтoм нepeaльнaя вoнь и мухи! С дaннoй пpoблeмoй бopeмcя пoчти двa гoдa! Рeзультaтoв 0!Обpaщaлиcь в aдминиcтpaцию Свepдловcкого paйонa, пиcaли губepнaтоpу, peзультaтов 0! Пиcaли ужe в пpокуpaтуpу, УК оштpaфовaли, и вce нa этoм.Κopмят кaждый paз oбeщaниями, чтo уcтaнoвят бaки coceдним дoмaм и;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
ЖКХ;криворуких наняли, не знающих технологию как и что делается. Теперь;★ Протечки с кровли (системы водостока)
Дороги;таки начнутся работы?????????;Предложение дороги в план ремонта
Коронавирус;ребенка тест положительный . Ни разу врач не пришёл, ни лечения , ничего. Ни;Проблемы в работе горячих линий
Экология;;Выбросы вредных веществ в атмосферу/загрязнение воздуха
ЖКХ;чтобы со сломанной дверью;Жалобы на управляющие компании
Образование;похолодало, какие температурные нормы;Проблемы с отоплением детских садов и школ
Экономика и бизнес;'Да очень много добавили 73рубля куда бы их девать,а пенсия 8600 в личном кабинете стоит сумма;Цены и ценообразование
Роспотребнадзор;К ОСТАНОВКЕ, ЗАХОДИМ В САЛОН ЗАПАХА НЕТ..НО КОГДА ОТЪЕЗЖАЕТ И ГАЗУЕТ ЯВНЫЙ ЗАПАХ ХЛОРКИ...КАК УЖ ОНИ ИХ;Санитарно-эпидемиологическое благополучие
Мобилизация;, у нас в регионе есть какие-то выплаты;Зарплата, компенсации, поощрения, выплаты
Общественный транспорт;'И верните кондукторов на;Проблемы с социальными картами или проездными документами
Социальное обслуживание и защита;поехать поработать медиком в Северодонецке.Куда обратиться?;Занятость и трудоустройство
Социальное обслуживание и защита;договоров о целевом обучении медработников ,проходит только;Занятость и трудоустройство
Благоустройство;знаем, что проблема в боровиках с парковочными местами постоянная, а тут еще с наступлением зимы стало все еще хуже, так почему обычные жители должны ущемляться перед «необычными». \nВесь двор Вагонной 23 завален снегом, парковочных мест в разы меньше, в то время как у элиты все расчищено и нет заботы искать место в вечернее время. \nА чистить место в любом другом месте это бессмысленно, потому что приедешь, а на твое место, которое ты чистил,;Самовольная установка ограждений на территории общего пользования
Дороги;надо тратить деньги на эту херню. Сделайте развязку уже дорожную на парковом до конца. А то там денег не хватает;Предложение дороги в план ремонта
ЖКХ;позвонили в Управляющую компанию и сделали заявку. Слесаря были, посмотрели, спустились в подвал, дали бумагу расписаться, что они были,;Ненадлежащее качество или отсутствие отопления
Здравоохранение/Медицина;энцефалита;Вакцинация
Связь и телевидение;назад телеканал Культура делалали передачу;★ Информационно-техническая поддержка
Здравоохранение/Медицина;хорошие новости, одна новая поликлиника на весь край. Когда;Содержание больниц
Строительство и архитектура;поскольку там не был). Там каждое второе здание развалины, которые никто не хочет отгорадить или снести, а там бывает дети сами;Состояние зданий учреждений и организаций
Мусор/Свалки/ТКО;областях есть перерабатывающие;Строительство объектов по обращению с отходами
Благоустройство;'В этом году дворы в Ивакинском;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
Благоустройство;'На Ленина 53 ,во дворе не яма,а ямище и никому дела нет.Это ужас;★ Ямы во дворах
Мусор/Свалки/ТКО;в неделю ,когда она придёт не известно, ждать? Люди пользуются старыми санкционированнми свалками,тут тоже услуга по тел предоставлена не всем людям,как же тут;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;Сильно ударилась, остались синяки, очень больно. Благо шла не одна.\nУважаемая Администрация, сделайте с этим что-нибудь, да и не только;★ Ямы во дворах
Образование;+79194962335. Поселок Яйва улица 8 марта дом 5 детский сад 23 не соблюдается охотный режим детского учреждения;Безопасность образовательного процесса
Безопасность;когда будет обработка парков;Безопасность общественных пространств
Образование;почему нельзя раньше включить? В садиках дубак. У детей сопли до пояса. Всё какие то сроки;Проблемы с отоплением детских садов и школ
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Газ и топливо;, пожалуйста. Газопровод по участку проводится до ближайшей точки фасада или;Запрос на газификацию и её условия
ЖКХ;большие, сейчас не топят- вопрос счет;Плата за ЖКУ и работа ЕИРЦ
Дороги;и губернатор???Ну если 8 стыков...поставьте 8;Пробки
Коронавирус;детской поликлиники №6 может показаться, что детская вакцина уже поступила в медучреждение, однако в;Порядок и пункты вакцинации
Здравоохранение/Медицина;стёрлись межпозвонковых диски, нужна;Профильный осмотр
Благоустройство;слова совсем. Центр Перми. Рядом Школа Точка, каким образом дети;★ Неисправные фонари освещения
Здравоохранение/Медицина;08.08.2023. Врачи не хотят уделять нам время. 07.08.22 сын обратился в травматологическое отделение г. Березники с резаной раной стопы (наступил на стекло в речке) шов 6 см. 08.08.обратились на перевязку и сразу решили оформи л/н., рис был прикреплен к другой больнице Ависма, доктор даже разговаривать не стал, идите мол туда. Съездили вечеро этого же дня прикрепилась к больнице Вагнера. К 18-00 подъехала в травматологии для оформления л/н.доктор мне отказал ссылаясь на пациентов, подъехала к 20-00, заняла очередь. Подошла моя очередь, я зашла в кабинет, но врач мне опять отказал из-за причины закрытой регистратуры. А л/н якобы;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
ЖКХ;скоро будет хуже, чем в домах по 3 Интернационала. УК «￼Алекс Уют», сделайте ремонт! За что платим такие деньги??? Ремонт;Некачественный капитальный ремонт
Общественный транспорт;до ул.;Неудовлетворительные условия проезда в транспорте на действующем маршруте
ЖКХ;вода? Или многие в городе пользуются такими благами ( если что, то во втором фото - белые жгутики -;Плохое качество воды
"МФЦ ""Мои документы""";топографической карты (для газификации)Нужна съёмка;Государственные услуги
Социальное обслуживание и защита;документ уже;Задержка выплат гражданам
Дороги;ЧЁ прошлый год ремонтировали ? Или ещё один слой асфальта положат - впрок ? Или в порядок приведут;Некачественно выполненный ремонт дорог
Образование;в город вернулся;Кадровые перестановки
Благоустройство;дела, поднять тут хейт на жителей важнее услышанного мнения. А можно узнать ФИО изготовителя вот этой лавочки?;Благоустройство придомовых территорий
Мусор/Свалки/ТКО;"вывозятся экскаватором за здание магазина пятерочка по адресу ул. Федосеева 110 и просто туда сваливаются, а там рядом течет река ""Гусиновка"", а как же водоохранная зона? Все";Выброс мусора нарушителем
Благоустройство;отсутствие подземного туннельного перехода к улице Барамзиной из существующего подземного выхода к остановочным платформам Главного направления железнодорожного вокзала Пермь-2 или эскалаторов на надземном переходе в том направлении, расположенном на большой высоте и без защиты от ветра и осадков, приемлемым в краевой столице и столице Западного Урала, в миллионном городе (!), в третьем десятилетии 21-го века при;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Образование;день! Информация про повышение баллов по профильной;ЕГЭ, ОГЭ
Образование;"я понимаю в сфере образования. Так вот. Сам я имею немалый опыт и заслуги в сфере образования как преподавателем, так и мастером произв. обучения.Хотел бы выразить негодование по обстоятельствам, по мне так уже систематического характера, к лицам, которые имеют и имели всегда большое значение в воспитании и формировании психологического климата учащихся. Если кто не понял, то это ""камень в огород"" СОЦИАЛЬНОГО ПЕДАГОГА и ПСИХОЛОГА. На протяжении последних двух лет у меня закрались сомнения и уже укрепились со временем представления в компетенции данных людей и отвечают ли они требованиям описанных в должностных инструкциях. Под большим вопросом, и я думаю, под этим подпишутся многие родители своих чад, ставлю их профпригодность на данных должностях и не только.Прошу разобраться администрации школы и не закапываться как ""страусы"" в песок, будто это не про Вас и всё это наговоры, в данном вопросе, вспомнив что такое ""ЗУН"" и применить их в своей деятельности, а также присмотреться и по возможности принять меры Министерству образования Пермского края. ( жаль что уже давно нет Бедненко Е. Д. - значимая была фигура, зам. председателя департамента, в сложные когда то времена).В конце хотел бы оставить название доклада, который легко найти на просторах интернета""Учитель в современном мире: Кто он? "", для того чтобы преподавательский состав школы #116 не только его прочитал, а сделал для себя, возможно какие то заметки, возможно переосмыслил ценности нынешнего, сложного мира";Безопасность образовательного процесса
Дороги;кутузова когда будут делать дорогу ,август скоро закончится пойдут дожди и что, опять ходить в сапогах или делать крюки,;Ремонт дороги
Газ и топливо;'Газификация д. Куземьярово;Сроки газификации
Здравоохранение/Медицина;одна медсестра с этой больницы, что нет лекарства , не чем лечить. Они занимают в разных больницах. Когда больной попадает в реанимацию они держут 4 дня на ИВЛ, а потом отключают. Зачем нам такая медецина, которая не думает о жизнях больных. Лиш бы срубить денег. Хочется встретится с;Отсутствие лекарств в стационарах
Благоустройство;"года!!! Фасаду ДК ""Горняк"" требуется ремонт!!!";Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
ЖКХ;'В Орджоникидзе тоже холодные;Ненадлежащее качество или отсутствие отопления
Строительство и архитектура;внутри используют как пожарная.Зачем сразу ломать?Вообще это объект РЖД лет 5 назад она даже была на продаже.;Состояние зданий учреждений и организаций
Образование;государственное и муниципальное управление в ПГНИУ, в сумме у меня 258 баллов за ЕГЭ.Есть ли возможность заключить целевой договор;ВУЗы и ССУЗы
Образование;я должна приходить в учебное заведение не учиться, а сидеть и думать как бы мне в голову не выстрелили?! Я понимаю, что вам там выше пофигу кто, где и как, но господи неужели нельзя сделать охрану жёстче!? СДЕЛАЙТЕ ХОТЬ ЧТО-ТО, ВАМ МАЛО ТЕРАКТОВ Я НЕ ПОНИМАЮ?!? Дети невинные;Безопасность образовательного процесса
Здравоохранение/Медицина;сына сегодня пришел отрицательный результат 2 мазка.Нужно ли идти;Профильный осмотр
Здравоохранение/Медицина;Вопрос, как может поправится пожилой человек если он будет кушать с утра до вечера каши на воде? Врачи вы;★ Питание в медицинских учреждениях
Здравоохранение/Медицина;времени у педиатров.... Почему они принимают по 3 часа в день? Видимо от того и очереди, что не укладываются в лимит времени.... Может я;Очередь
Здравоохранение/Медицина;врачу, когда на весь город КУНГУР, принимает один врач?!! Просто бардак творится;Нехватка или сокращение врачей и медицинских учреждений
Общественный транспорт;'При оплате картой, билет не выдаётся. И как доказать тогда, что оплачен презд? Смс приходит;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Торговля;времени суток! Вопрос по киоску на Мира, 9 всё ещё не решён? Неужели месяц ушёл на согласование перемещения???;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Социальное обслуживание и защита;как подать досудебную жалобу на соцзащиту;Социальные учреждения
ЖКХ;еле как;Низкая температура воды/слабое давление
Общественный транспорт;окном тоже ничего хорошего... ощущение будто едешь;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;официальный отказ от города. Наш проект и желание помочь школе со спортивной площадкой на её территории не востребованы.Очень;Общее впечатление
ЖКХ;дак вот эти пол года, наша администрация всё решает и;Лифт неисправен или отключен
ЖКХ;с козырька балкона дома,упал снег на машину;★ Наледь и сосульки на кровле
Мобилизация;муж отправил документы на выплату по ранению. Скажите пожалуйста сроки рассмотрения;Зарплата, компенсации, поощрения, выплаты
Дороги;второй вопрос - почему техника ездит с поднятым ковшом, а реагенты рассыпает частично, в нашем случае только на выезде эстакады Бродовский тракт/ Восточный;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Дороги;сообщить о ходе;Предложение дороги в план ремонта
Благоустройство;вопросу тротуара в микрорайоне Камский Орджоникидзевского района. Прошли дожди, грязь скользко, пешеходам по тротуару не пройти,, приходится выходить на проезжую;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Здравоохранение/Медицина;он так и не работает. Всех отправляют платно делать мрт в Пермь.купили за баснословные деньги,а на деле просто отмыли деньги и всё;Нехватка материально-технического обеспечения
Мобилизация;будут вот что решать нужно;Поддержка семей мобилизованных
Благоустройство;'Куда обратиться что администрация района (Орджоникидзевский) игнорирует вырубку опасного дерева у частного;Вырубка деревьев, кустарников
Мобилизация;по темеРасскажите пож та как в крае солдаты получают или получат кредитные каникулыПрям карту изложите пож таТолько отправлять меня в банк разбираться 😳, не надоКак работает;Поддержка семей мобилизованных
Образование;когда же;Зарплата учителей
Образование;и на улице, единственное, без шапок и курток. Очень холодно. С насморком и болеют, Из-за этого отправляют на больничный, а нужно работать. Пожалуйста,;Проблемы с отоплением детских садов и школ
Коронавирус;'Добрый деньРебёнку вызвали неотложную помощь во четверг 27.01Однако мы находились не но адресу прописки (Ленинский район ), а адресу аренды квартиры ( Свердловской район) ПермиТ.к пришедший к нам доктор (Селиванова Елена Николаевна)- не наш фактический врачМы сдали мазок в эту же поликлинику ( резолюции 8), а сегодня проучили положительный результатВозникает вопрос - что нам делать дальше. Придёт к нам врач из поликлиники на революции или нам;Жалобы на врачей
Здравоохранение/Медицина;день. Вызвали скорую в 7-30 утра п.Суксун, в течении 2 часов так никто не приехал. За это время можно несколько раз скончаться, как;★ Скорая помощь
Мусор/Свалки/ТКО;находиться на расстоянии почти километр. И как;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;что случилось с этой сосной (Балатовский парк) ?;Парки и зоны отдыха
Мобилизация;а выплаты до сих пор нет. Толком ни каких подготовок. Спрашивается, для чего их сорвали с работы и лишили заработков? Если выплатили, то только;Зарплата, компенсации, поощрения, выплаты
Благоустройство;и отсыпке дороги хотябы щебнем а то дети в школу ходят;Отсутствие фонарей освещения
Здравоохранение/Медицина;там раньше ставить начали) нопококимто причинам нас не пригласили на вакцинацию причину назвали только ставим своим звоните в свою поликлинику и записываитесь там. Мы опять остались ни счем. Куда жаловатся? Поделили посёлок на два фронта. В другие населеные;Вакцинация
Благоустройство;почему конкретно в Левшино ни;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
ЖКХ;бред,! Как морозильники, и насос на отопление, работать не будут,;Отсутствие электричества
Благоустройство;детьми гулять в туалет сводить не куда(для каких тогда Целий ставили;Отсутствие общественных туалетов
Благоустройство;этой зимой была авария, прорвало трубу холодной или горячей воды, между домом металлистов 28А и детским садом. Проблему устранили, но вот когда нынче стаял снег, образовалась огромная куча земли, и жуткая грязь, так получилось что по этой тропинке мы водим дочку в детский сад N28, ну и разумеется не мы одни ходили по этой тропе, сейчас там пройти не возможно, приходится делать большой крюк, по пути в детский;★ Подтопление территории
Социальное обслуживание и защита;меньшей сумме? Всегда приходило;Дети и многодетные семьи
Дороги;'Доброе утро, ПЕРЕКРЫТА ул. Чапаева-Смышляева, на долго?;Несанкционированное ограничение движения, помехи движению, захват земли в полосе отвода автодорог
Безопасность;'Добрый день☀ подскажите пожалуйста, где можно оставить помощь для беженцев? Готова;Беженцы
Коронавирус;сегодня в пункт на Крупской 57А (т.к. на работе выявили положительный ПЦР), меня выгнали и отправили в поликлинику по месту жительства (прописка на Садовом). Разве в эти пункты не могут обратиться жители не зависимо;Жалобы на врачей
Роспотребнадзор;рассказала в социальных сетях одна из родительниц, чей ребенок отдыхал в этом лагере.По словам женщины, ее сын вернулся домой весь искусанный клопами. И это не единственный случай. Другие ребята из его отряда также приехали с укусами. Со слов детей, после жалоб на укусы клопов комнату, в которой проживал отряд, чем-то обработал молодой вожатый. После;Санитарно-эпидемиологическое благополучие
Экономика и бизнес;;Трудоустройство
Образование;ещё по 10000 руб). Это будет с 1 апреля или опять нет? Любому ответу будем рады...;Зарплата учителей
Дороги;у дома на Веденеева 77, а то на один подьезд асфальта не хватило, или;Нарушение технологии и (или) сроков производства работ
Государственная собственность;в Губаху из поселка...??? Будет ли возможность получить жильё в Губахе.???. И если да то какие условия должны соответствовать требованиям... Не все могут;Региональное имущество
Благоустройство;свои слова несёте ответственность? Где исправленная лестница на пр. Победы,21 возле остановки? Сегодня уже 29 октября. Написать губернатору? Вот смеху - то будет на весь Пермский край! Позорище!!!!!!! Какую-то песенку не могут нормально построить. Если я упаду на ней в гололёд,;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Образование;г, +79027933031. Здравствуйте, нам никак не возвращают деньги за переплата по учёбе. Что;Выплаты стипендий
ЖКХ;"может быть 800 рублей. Как может начисляться плата за июль месяц , подогрев воды, если её не было весь июль месяц. Муп ""водоканал"" отказывается, что либо говорить и пересчитывать, плата за ремонт и содержание жилья начисляются в полном объёме. При звонке в Муп ""водоканал"" уточнить когда будет горячая вода - ответ "" мы вас не обслуживаем, только аварийные случаи"" , тогда за что берётся плата";Завышение платы за коммунальные услуги
Электроснабжение;у нас в деревне зязелга не хватает напряжение даже воды набрать не можем;Качество электроснабжения
"МФЦ ""Мои документы""";получения топографической;Государственные услуги
Электроснабжение;31.07.22 информирую,что ответа;Качество электроснабжения
Экономика и бизнес;минимум для пенсионеров,даже унизительный,как будьто пенсионеры самые богатые люди не учитывают сколько идет на лекарство ,а сколько это лекарство стоит мы ходим в те же;Цены и ценообразование
ЖКХ;так построили и соседи за стенкой моются до 3х ночи, а весь шум и гул от воды у нас в квартире;Перепланировка и реконструкция помещений
ЖКХ;в получении выплат. Есть ещё проблема, незнаю к кому обратиться. Наш дом( орджонекидзевский район, Гайва, ул. Мезенская, дои 26) снабжает водой колодец, воды в этом году катострофически не хватает, и мы с детьми рискуем остаться без воды совсем уже к концу месяца. Прошу помочь решить вопрос с;Подключение к водоснабжению
Здравоохранение/Медицина;в пермском крае есть такая помощь медсестрам и еще хотела бы;Социальная поддержка медперсонала
Благоустройство;ожидании, обходя лужу по проезжей;★ Подтопление территории
Благоустройство;на каторых должны кататься дети, а после пьнки качаются тётки;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
