Группа тем;Текст инцидента;Тема
Здравоохранение/Медицина;'Тоже отправили в Пермь . У нас в городе нет окулистов;Нехватка или сокращение врачей и медицинских учреждений
Образование;Каким образом вопрос с обучающимися будет решаться;Строительство школ, детских садов
Благоустройство;у воды не огорожена по всему периметру? Или купаться таки можно,хоть и;Парки и зоны отдыха
Общественный транспорт;и как будет с;Проблемы с социальными картами или проездными документами
Мусор/Свалки/ТКО;'Очень рада за город Пермь.Но очень обидно за другие города и населенные пункты.Почему ЭКОпункты открываются только в;Раздельная сортировка отходов
Социальное обслуживание и защита;городе Губаха , ул 2 Коммунистическая 91 ?;Социальные учреждения
Мусор/Свалки/ТКО;работает мусороперерабатывающий комплекс? Реализую;Раздельная сортировка отходов
Здравоохранение/Медицина;объ ясняют почему,(инсульт 1 гр))курьеру далеко из поликлиники;Здравоохранение прочее
"МФЦ ""Мои документы""";мфц писать заявление,;"МФЦ ""Мои документы"""
ЖКХ;начисляют и оплачиваем все 100%.И второе:за июнь оплатили всю сумму,а за июль пришла квитанция с;Сборы за капитальный ремонт
Благоустройство;Гусарова-Лодыгина все деревья хотят спилить ?🙈😔или;Вырубка деревьев, кустарников
Электроснабжение;подскажите когда и где можно будет оформить;Качество электроснабжения
Дороги;ул. Островского и ниже,;Содержание, ремонт и обустройство тротуаров
Социальное обслуживание и защита;или с начала 2021 года?Ребенку 4 года было в октябре. Ранее не проходили;Оказание гос. соц. помощи
Благоустройство;жизни и здоровья людей.;★ Нарушение правил уборки и вывоза порубочных остатков
Мусор/Свалки/ТКО;можем заключить индивидуальный;Проблемы с контейнерами
Здравоохранение/Медицина;флюрографииА ещё сказала что вы же 5 недель;Хамство медицинских работников
Безопасность;Екатерина Васильевна. Помогите мне пожалуйста с моим вопросом-я с;Беженцы
Безопасность;на Фрунзе целая стая штук;Отлов безнадзорных собак и кошек
Связь и телевидение;'Сообщение без текста;★ Информационно-техническая поддержка
Здравоохранение/Медицина;одно лекарство стоит 959Второе;Здравоохранение прочее
Социальное обслуживание и защита;перерасчёт от трёх до семи поступить в месяц одобрения? Просто нам с девушкой одобрили обеим 18 января,;Задержка выплат гражданам
Памятники и объекты культурного наследия;кто за это;Памятники и объекты культурного наследия
Мусор/Свалки/ТКО;сейчас его валят столько что просто в легковой машине мы;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
Благоустройство;ни бурьян не косится!Вопрос надо задавать Филиппову, только с;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Электроснабжение;освещения на опоре ЛЭП.;★ Повреждение опор ЛЭП
Мусор/Свалки/ТКО;2 такие когда установите? Пока Д. З. О города не;Раздельная сортировка отходов
Экология;населению откуда дым в;Выбросы вредных веществ в атмосферу/загрязнение воздуха
ЖКХ;и замена почтовых ящиков это дополнительные траты жильцов или это все входит в содержания и;Ремонт подъездов
ЖКХ;стояку горячего водоснабжения.;Отсутствие горячей воды
Благоустройство;города ходят теперь;★ Нарушение правил уборки от снега и наледи территории парка и сквера
ЖКХ;'Ремонт ждём уже 23 года. Каждый год отписки от УК ЖПЭТ-1 АБРАМОВО.;Некачественный капитальный ремонт
Коронавирус;Перми и Березниках, а и;Самоизоляция и карантин
Благоустройство;не все ездят на авто. Есть полно пешеходов. Пройти по тротуара страшно. Не убирают от льда, не посыпают. (Это ул. Куйбышева от Чкалова и ниже);★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Здравоохранение/Медицина;'Травмпункт рядом надо построить.;Предложения по созданию лечебных центров
Благоустройство;грязный с кучами снега;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Здравоохранение/Медицина;в рп.Октябрьский не могут пройти медкомиссию у себя в районе ,;Профильный осмотр
Газ и топливо;соответствующих работ внутри участков. Когда данный вопрос будет рассмотрен в Пермском крае? Заранее спасибо за;Стоимость, оплата и возврат средств на газификацию
ЖКХ;одной части, о которой предупреждала;★ Протечки с кровли (системы водостока)
Газ и топливо;газа? Может это;Восстановление газоснабжения
Образование;это по своим областям?;Дистанционное образование
Погребение и похоронное дело;компактная,подхоронил к имеющейся могилке- и все.;Погребение и похоронное дело
Общественный транспорт;отправил на следующем;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Образование;регионах, которые могут обеспечить условия, при которых я смогу сократить нагрузку в два раза и при соответствующем старании увеличить;Зарплата учителей
Благоустройство;в очередной раз просим открыть сан-узлы, установленые возле администрации и детского парка! Дети и взрослые;Отсутствие общественных туалетов
Общественный транспорт;акте щели ...Я;Неудовлетворительные условия проезда в транспорте на действующем маршруте
ЖКХ;же ещё и МТС перестал работать….Что произошло?;Отсутствие электричества
Коронавирус;16 января произошло резкое снижение выздоравливающих до 350-400 чел.;Коронавирус
Общественный транспорт;эскалаторами и лифтами. В чем проблема;Пешеходные переходы и жд переезды
Образование;политехническом техникуме до сих пор;Проблемы с отоплением детских садов и школ
ЖКХ;день. 5 лет подряд, 2 раза;Другие проблемы с общедомовой системой водоотведения (канализации)
Коронавирус;мы с женой пенсионеры и;Жалобы на врачей
Коронавирус;никогда не болеть😊;Самоизоляция и карантин
Социальное обслуживание и защита;Губаха , ул;Социальные учреждения
Благоустройство;можно складировать грязный снег с дорог? Превращая город;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Здравоохранение/Медицина;по несколько месяцев чтобы показать ребёнка врачу или ездить в другие города , а у кого то нет возможности вообще куда либо ездить... Хотелось бы этот вопрос решить как то...Что касается для взрослых, очень сложно попасть по направлению в Пермь люди ждут с апреля месяца а если у кого то серьёзная, проблема как можно ждать так...Моя проблема в том что нужно чистить слезный канал, я уже жду месяц этого;Технические проблемы с записью на прием к врачу
Образование;'В классах очень много болеет детей, дети так же приносят вирус домой бабушкам и дедушкам, закройте на карантин;Дистанционное образование
Социальное обслуживание и защита;вы мне обещали;Создание доступной среды для инвалидов
Экономика и бизнес;'Сообщение без текста;Цены и ценообразование
Здравоохранение/Медицина;прошла неделя с обращения, есть какое то решение?!;Льготные лекарства
ЖКХ;утро. Через подвал нашего дома;Другие проблемы с общедомовой системой водоотведения (канализации)
Образование;почему не получат? Идиотизм полнейший.;Питание
Социальное обслуживание и защита;коментарии Ветеранов Пермского края и;Пенсионеры и ветераны
ЖКХ;'кто может получить компенсацию на;Сборы за капитальный ремонт
ЖКХ;работу котельной, вперёди ещё долгая зима хочется чтобы в;Ненадлежащее качество или отсутствие отопления
ЖКХ;за снятие кондиционеров,видбпортят.За тоьвсе офисы и гос учереждения при них;Ремонт подъездов
Дороги;"точно будет про ""безопасность детей"".";Работа светофора (установка, изменение режима работы, оборудование кнопкой вызова)
Благоустройство;нашем районе, а в результате растёт мусорка!! Было бы не плохо, если бы его наконец сделали и местные жители там отдыхали!! А малый и средний бизнес давно надо привлекать!! Пусть содержат свои объекты в должном виде!!;Парки и зоны отдыха
Общественный транспорт;маршруте ходят всего 3;Добавить новый маршрут
Благоустройство;города ходят теперь кататься на эту грязную гору .наверно надо идти в администрацию пусть вывозят, этот кашмар;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Благоустройство;и песком) по ремонту тротуаров около школы 116 во двор на ул. Студенческая 22. Нам неделю назад по программе благоустроили двор, положили новый асфальт и бардюры. А нам;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
ЖКХ;от управляющей компании ремонта крылец, которые;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Коронавирус;заседание, чтобы объявить карантин не в Перми и Березниках, а и в Пермском;Самоизоляция и карантин
Социальное обслуживание и защита;расселения администрацией Гремячинска,суть проблемы заключается в следующем 31 марта наша квартира была выкупленна, обещанные;Аварийное жилье/переселение
Образование;любом случае, и через;Безопасность образовательного процесса
Образование;проверки в учреждениях?;Питание
ЖКХ;так ЖКХ слишком дорогое стало.;Завышение платы за коммунальные услуги
ЖКХ;у нас не сделали,наружную стену сделали,а потолок в комнате так и;Ненадлежащее содержание и эксплуатация МКД
Безопасность;новые. Но!!! Можно стерилизовать уже имеющихся на территории собак (для предприятия это не великие деньги). Организовать тёплые;Отлов безнадзорных собак и кошек
Образование;улице Орджоникидзе оставляет;Питание
Мобилизация;работы тоже пришлось расчитаться;Зарплата, компенсации, поощрения, выплаты
Безопасность;вопрос не знаю,;Безопасность общественных пространств
Общественный транспорт;они ходили на станцию в районе ГСК, но она не работает ( Теперь им проще пешком через ГЭС идти до Молодежной. Может, есть;Добавить новый маршрут
Дороги;июль ,не за горами;Подтопление автомобильных дорог
Здравоохранение/Медицина;на больничный.С 15 августа нет приёма нет записи,а тут на больничный ушла.Мне позвонили из регистратуры и сказали ,что перезапишут.Но у меня перешла боль на левый бок и всё от;★ Просьбы о лечении
Мусор/Свалки/ТКО;ещё сначала выяснить куда везти. Трудно в;Раздельная сортировка отходов
Благоустройство;затруднено. После ремонта прошло около 2 недель.;Нарушение правил проведения земляных работ
Здравоохранение/Медицина;30.01.1964,адрес ул.Мильчакова 11-61;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Социальное обслуживание и защита;новогодние подарки для ребенка? Из;Инвалиды
Дороги;скорее всего стоит с захватом земли,;Необходима установка и замена дорожных ограждений
"МФЦ ""Мои документы""";скажите пожалуйста, можно ли написать жалобу через;Государственные услуги
Коронавирус;выдали QR код, куда;Сертификаты и QR-коды
Благоустройство;сорными травами. Я живу по адресу: ул. Юности 14, окна выходят на стадион 2 корпуса ЧИТа, (бывшее училище№9), который зарос бурьяном в человеческий рост. Находится здание на улице, по которой проезжают гости нашего города, по тротуару на электричку ходят многие жители, и все видят воочию неухоженность территории. А самое главное, сейчас у многих людей существует причина более актуальная - это аллергия на сорные травы, большая проблема для здоровья человека, убедилась на себе. Мало того, что со стороны стадиона нашествие травы и возле дома бурьян. Но у нас ведь фамилия главы городского округа не Бурьянов? Скажите покос сорных трав преддомовых территорий должны осуществлять ТСЖ? и как обязать их на это? И ещё хотелось бы узнать про тополя, по улице Юности? Собираются с ними что-то делать, как-то подрезать,;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Благоустройство;начнут освещать улицы?;Отсутствие фонарей освещения
Коронавирус;имеется в наличии спутник лайт? Не закончится;Доступность вакцин
Здравоохранение/Медицина;районе г. Пермь ждем запись с 21;Технические проблемы с записью на прием к врачу
Социальное обслуживание и защита;за 100 км и оформление;Создание доступной среды для инвалидов
Социальное обслуживание и защита;г. Соликамск там просто не берут трубку .Я инвалид второй группы хотел;Пенсионеры и ветераны
Благоустройство;день! Помогите пожалуйста решить проблему с ямами во дворе.Это заезд во двор трёх домов Братская 20, Братская 22 и Балхашская 209. Двор;★ Ямы во дворах
Благоустройство;не видно детей;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Коронавирус;обратиться с жалобой на наплевательское отношение к срокам проведения тестов на ковид у детей? Заранее благодарна за ответ.;Тесты на коронавирус
Образование;учебной недели и перейти на;Образовательный процесс
Общественный транспорт;это выезд автобуса от остановки. На третьем фото въезд в коллективный сад № 5. Фото сделано в прошлом году, а в этом году образовалась большая яма перед выездом из сада;Пешеходные переходы и жд переезды
Благоустройство;20, Братская 22 и Балхашская 209. Двор тупиковый, другого проезда НЕТ. Зимой постоянно застревают машины в этих ямах, вытаскивают друг друга.;★ Ямы во дворах
Дороги;Я в шоке!;Некачественно выполненный ремонт дорог
Общественный транспорт;может это она😂;Отсутствие остановочных пунктов
ЖКХ;вопрос а когда начнут ремонтировать;Ненадлежащее содержание и эксплуатация МКД
ЖКХ;предоставлял поставщикам услуги по отоплению в 2х-этажных домах. И теперь неподъёмные суммы, в 2 раза превышающие прежние. Тарифы такие чем обоснованны?! В наших домах технически невозможно установить счётчики. Плюс;Завышение платы за коммунальные услуги
Коронавирус;объясните пожалуйста, информации 0, если береболел в октябре дельтой, а в феврале типа омикроном, тест +, б/лист. Как в этом;Сертификаты и QR-коды
Общественный транспорт;ней проехал кто то аж три раза по заблокированной!! В результате из -за того что кто то ни чего не сделал у меня старты Списали 264 рубля.Отвратительное;Проблемы с социальными картами или проездными документами
Социальное обслуживание и защита;курсе,что проживаю несколько лет зимой в бане-землянке,кроме-того нет воды,дрова 7 лет не выписывают т.к не являюсь собственником;Оказание гос. соц. помощи
Безопасность;агресивней и будут в большие стаи собиратся;Отлов безнадзорных собак и кошек
Дороги;как не было так и нет, зато бюджет пополненяется регулярно и кормит чиновниковК тому же незаконно эвакуируются автомобили для перевозки инвалидов, внесенные в соответствующий реестр, вписываются штрафы, якобы за нарушение, отвергая презумпцию невинности, а чтобы вернуть деньги, человек должен с вами судиться?На следующих выборах ни вы ни единая Россия на поддержку не расчитывайте.Я не помню что бы население голосовало за платные парковки.;Организация парковок
Здравоохранение/Медицина;вызывали сначала неотложку, врач приехала и с бахилами и с одноразовыми инструментами для осмотра и забора анализа. Вечером приехала скорая без бахил, попросили пакеты на ноги и ложку для осмотра горла. И это не единичный раз.2. Почему участковый педиатр приходя на дом к ребенку не может взять с собой рецепт? Смысл ее прихода, если потом снова идти с ребенком в поликлинику и в порядке живой очереди ждать рецепт? Ребенка не с кем оставить.3. Для чего каждый месяц брать рецепты на молочную кухню? Неужели нельзя это автоматизировать? На март автоматически продляли, но все равно позже потребовали рецепты в бумажном варианте. 🤦‍♀4. В июле написала заявление на смену участкового педиатра, мне в смене отказали, как ответила заведующая, что с педиатром проведен разговор. Но ребенка;Профильный осмотр
Мусор/Свалки/ТКО;сортировочный комплекс не;Строительство объектов по обращению с отходами
Электроснабжение;и Полевая напряжение в сети составляет порядка 160-170 Вольт. Обращались коллективно в ПАО Пермэнергосбыт и Березниковские электрические сети ОАО МРСК Урала. Обратной связи не получили, никаких действий данные организации;Качество электроснабжения
Спецпроекты;добавить к голосованию?;Спецпроекты
Коронавирус;подать жалобу на городскую больницу;Сертификаты и QR-коды
Мусор/Свалки/ТКО;новые Ляды Чусовская д12;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;"и ДК Калинина) нет урн, территории около домов и магазинов не убираются дворниками, кругом мусор и грязь, на проезжих дорогах - яма на яме ( на улице Брестская после дождей образуется "" река"", такое впечатление, как будто";★ Отсутствие урн, лавочек в общественных местах и дворовой территории
Здравоохранение/Медицина;поликлиники, то и дорожки в больничном городке облагородят.😌;Содержание больниц
Строительство и архитектура;будут работать в этой больнице?!;Строительство социальных объектов
Коронавирус;операции в Пермской краевой;Коронавирусные ограничения
Благоустройство;площадки детской вообще нету, все довольны👍👍👍🤣;Отсутствие детских площадок
Общественный транспорт;динамо еле доехал и отправил на;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Газ и топливо;то в Березниках в местном отделении Газпром заявление на;Запрос на газификацию и её условия
Здравоохранение/Медицина;из поликлиники через дорогу на;Здравоохранение прочее
Образование;меры будут приняты ( для родителей и;Образовательный процесс
Здравоохранение/Медицина;препараты терапевт выдает бесплатно;Льготные лекарства
ЖКХ;воды слабый и горячей воды нет;Низкая температура воды/слабое давление
ЖКХ;'Здравствуйте, вы когда;Другие проблемы с общедомовой системой водоотведения (канализации)
Мусор/Свалки/ТКО;склону до почтового отделения 614018.;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;утро, вот так уже какой день выглядят раскопки на остановке проспект Парковый. Всё раскопали и бросили, а здесь на;Нарушение правил проведения земляных работ
Дороги;пешеходный мост на;Ремонт/строительство мостов
Газ и топливо;Заостровке нет газа? Может это;Восстановление газоснабжения
ЖКХ;собственник квартиры №63 в доме по адресу: ул. Никонова, 14, прийди и открой квартиру. Из-за вас перекрыли воду в двух подъездах, так;★ Прорыв трубы/трубопровода
Социальное обслуживание и защита;звонили в администрацию по расселению они;Аварийное жилье/переселение
Коронавирус;сидеть дома на самоизоляции, но в центр акдц поехать я;Самоизоляция и карантин
Образование;'А почему только театр и спорт??? Как будто других способностей у детей нет. Почему;Дополнительное образование
Благоустройство;обломившиеся ветки деревьев, сваленные;★ Нарушение правил уборки и вывоза порубочных остатков
Коронавирус;штаба не объясняя причины. Хотелось бы услышать от вас;Самоизоляция и карантин
Мусор/Свалки/ТКО;ситуация Фрунзе 5 ,платим за мусор чтобы из окна смотреть на этот;★ Уборка/Вывоз мусора
Торговля;этим ларьком и;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Социальное обслуживание и защита;прожиточного минимума. Он инвалид;Пенсионеры и ветераны
Коронавирус;'Добрый.Подскажите номер чтоб узнать ПРЦ тест у ребёнка.Сдавали на Петропавловской 109-2;Тесты на коронавирус
Образование;Как подать заявление на сдачу;ЕГЭ, ОГЭ
Здравоохранение/Медицина;Сейчас зашла в приложение;Отсутствие лекарств в аптеках
Благоустройство;на муниципальной территории. И кронируйте, пожалуйста, деревья, которые представляют серьезную опасность для жизни и здоровья людей. Напротив двора Петропавловская,;★ Нарушение правил уборки и вывоза порубочных остатков
Мусор/Свалки/ТКО;ул. Елькина, 3, который собирается жильцами соседних домов.;Выброс мусора нарушителем
Безопасность;Волна пустует, размещайте;Беженцы
Здравоохранение/Медицина;бы не помешало бы;Нехватка материально-технического обеспечения
Образование;Имеем ли мы право обратиться в органы соцзащиты для получения путевки в загородные лагеря на лето 2022г? Проживаем в Пермском районе. Когда необходимо обращаться и какие документы для этого необходимы?;Детские оздоровительные лагеря
Мусор/Свалки/ТКО;Мусор не вывозится;★ Уборка/Вывоз мусора
Образование;"в консервной банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить, а нам смеются в ответ, ""нет мест, у нас.. Школа";Нехватка мест в школах
Мусор/Свалки/ТКО;нашему дому, а мы от этого страдаем, так как оттуда к;Выброс мусора нарушителем
Образование;'Добрый день. Наша семья является многодетной НЕ малоимущей. Имеем ли мы право обратиться в органы соцзащиты для получения путевки в загородные лагеря на лето 2022г? Проживаем в Пермском районе. Когда необходимо;Детские оздоровительные лагеря
Физическая культура и спорт;"эти разрешения по по пожарной отвественности, ""когда сдают сдание???????";Строительство спортивной инфраструктуры
Экономика и бизнес;'А как устроится в крц Прикамье?;Трудоустройство
Здравоохранение/Медицина;желательно незамедлительно. Проблема такая. В Берёзовке уже почти полгода идёт ремонт в кабинете флюорографии, почему так долго, такого не может в принципе быть.;Нехватка материально-технического обеспечения
Электроснабжение;и где можно будет оформить заявление по электрофикации на;Качество электроснабжения
Образование;это нет средств.;ВУЗы и ССУЗы
Спецпроекты;Пермском районе ветерану ВОВ начисляют тариф за вывоз ТКО? Куда и;Спецпроекты
"МФЦ ""Мои документы""";подскажите есть ли такая услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать заявление, хотя ранее я;"МФЦ ""Мои документы"""
Газ и топливо;какая помощь есть от государства по этому вопросу?;Стоимость, оплата и возврат средств на газификацию
Социальное обслуживание и защита;я претендовать на ежемесячную губернаторскую выплату, где расчет нуждаемости исходя из 2-х прожиточных минимумов?;Дети и многодетные семьи
ЖКХ;"ушла УК с нашего дома могу сказать, что1. В нашем подъезде, не знаю, как в других теперь консьержа нет;2. Уборку в подъезде я не наблюдаю.Раньше мылись лифты, весь первый этаж, входная группа ежедневно, а Этажи несколько раз в неделю, а полы у лифтов несколько раз в день, теперь этого нет.3. Дворников тоже не наблюдаю, как раньше, стало грязнее.4. Вызывала Слесаря, чтобы отрегулировать батареи - не пришёл, сказали, что много заявок, не до нас(Пришёл человек из правления, как я поняла, не слесарь, отрегулировал одну батарею, и на том спасибо.Раньше Слесаря";Ненадлежащая уборка подъездов и лифтов
Физическая культура и спорт;"ограждения поля ещё какая то сетка, которая держится на честном слове. Все количество участников праздника в одной "" куче"" и болельщики, спортсмены и просто желающие посмотреть. Вот это истинное удовльствие от праздника....! Где у";Ремонт спортивных учреждений
Образование;адресу ул.Суворова 9а,с побоями,а конкретно,чем то сзади хлестанули по ногам.По незнанию увела домой, только;Безопасность образовательного процесса
Дороги;'Доброе утро скажи пожалуйста сегодня будет рейд по улице Мира с торговлей что будете решать? И когда придут к нам от мира в низ по балахнинке дорогу смотреть;Ремонт дороги
Благоустройство;около школы 116 во двор на ул. Студенческая 22. Нам неделю назад по программе благоустроили двор,;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Благоустройство;правила движения, объезжая ветки. Вечером пойдут дети пешком;Вырубка деревьев, кустарников
Экология;что река Ива окрасилась в красный;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Дороги;будет . Виновных и;Ремонт дороги
Экология;'Доброе утро, объясните пожалуйста населению откуда;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Дороги;ломать машины и;Строительство или реконструкция дорог
Общественный транспорт;поздно с ПДК на работу;Изменить или отменить маршрут
Благоустройство;конкретные адреса и фотофакты нарушений;Уборка территорий
Газ и топливо;'Здравствуйте,когда будет газификация в деревне Чалково.;Сроки газификации
Здравоохранение/Медицина;не положено по возрасту. Почему человек, который на Гусарова 7 выписывает направления на столько не компетентен, что не знает элементарного??? Я позвонила на Гусарова 7, чтобы узнать как такое произошло. Мне перезвонили и сказали, что молодой;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Здравоохранение/Медицина;8.00 утра вызвали врача на дом для ребёнка уже вечер никого нетКак связаться с бригадой неотложки?????А потом возмущаются;★ Скорая помощь
ЖКХ;пожалуйста, почему в 9 роддоме, нет горячей воды? Новорожденных даже;Отсутствие горячей воды
Дороги;. Часть пусть на городские маршруты.4, Очень много ездит дачников и из города и с левого берега, эти автобусы пусть курсируют только по Гайве в Алешиху,троицу и тд.Разберем ситуацию люди поехали на дачу в Алешиху. Автобус идет с Молодежной. 2 часа в пробке, пока до дачи 3 часа уйдет. Не вариантЛюди на электричке доехали до станции Кабельная и дальше что? Со станции идти;Пробки
Благоустройство;так и не сделали. Уже 28 число. По Чапаевой,;★ Нарушение правил уборки внутридворового проезда, пешеходной дорожки
ЖКХ;очень. Такую тяжесть и габарит на 7 этаж. Конечно, за лифты всегда платили.Естественно, требуется, чтобы все было исправно и можно пользоваться.А тут торговый центр;Лифт неисправен или отключен
Памятники и объекты культурного наследия;участке памятники стоят чуть ли не по пояс;Памятники и объекты культурного наследия
Здравоохранение/Медицина;"действия справки закончился 1,09,22,направление не дошло на Мсэ,в; больнице ничего конкретно не объ ясняют почему,(инсульт 1 гр))курьеру далеко из поликлиники через дорогу на Коммун,31 перейти";Здравоохранение прочее
