Группа тем;Текст инцидента;Тема
Дороги;Сколько можно обещать?Для Махонина устроили показуху, а люди ждут и;Ремонт дороги
Общественный транспорт;И как оплачивать наличными, если не будет кондукторов?;Проблемы с социальными картами или проездными документами
Образование;классе обществознание. Экзамен начинается в 10. Их обязали прийти к 9, чтобы в 9-10 все сели за парты. У детей нервы железные? Чтобы час до экзамена сидеть и нервничать. Что за организация и подход? Вы считаете это нормально? Я совершенно не;ЕГЭ, ОГЭ
Общественный транспорт;европе и всё. С эскалаторами и;Пешеходные переходы и жд переезды
Здравоохранение/Медицина;перевели, из нытвы в пермь, сдала анализы прошла узи итог ребенка уже не спасти, как быть то почему во время не был сделан перевод, из нытвы в пермь, если нет препаратов тут, прошу вас принять меры и;Отсутствие лекарств в стационарах
Роспотребнадзор;нас такая же проблема 😡;Обработка и уничтожение грызунов (дератизация)
Общественный транспорт;сегодня не было автобуса на 15.00 в сторону кормовище, простояли на остановке полчаса😔;График движения общественного транспорта
Общественный транспорт;автобуса «Лысьва-Аитково» (во сколько уезжает из лысьвы автобус в субботу и во сколько;График движения общественного транспорта
Коронавирус;'Да вчера, сказали сто положительный тест сказали ждите врача и что в;Жалобы на врачей
Благоустройство;с вандализма в лесу. Теперь Балатовский лес. Он-то в черте города. Почему в нем вырубки;Вырубка деревьев, кустарников
ЖКХ;в собствености муниципалитета. Там царит разруха. Окна бещ стекол. Двери со стороны пожарной лестницы т.е с балкона вновь выбиты. Почему нет никакого контроля за;Непригодные для проживания жилые помещения
Здравоохранение/Медицина;положений 19 недель, сходила на узи в нытвенскую больницу, ей сказали что угроза выкидыша она легла, пролежала 10;Отсутствие лекарств в стационарах
ЖКХ;отопления нам не дают! Предпримите, пожалуйста, меры. Я сама проживаю в доме Веры Засулич 50А,;Ненадлежащее качество или отсутствие отопления
Дороги;такие узкие проезды делать? Могли бы забор прям на дороге поставить;Необходима установка и замена дорожных ограждений
Благоустройство;в Лысьве так всё плохо с;Отсутствие фонарей освещения
Образование;"у педиатра о том, что дети здоровы и в школу приходить уже с этими справками! Мне эта ситуации непонятна вообще, проясните, какой порядок выхода детей в школу из карантина? Как я понимаю, карантин нужен для разобщения детей, у меня дочь не болела и никуда не выходила практически за время карантина. А сейчас мне предлагают вести ее туда, где много больных детей, подвергая опасности заражения, чтобы получить какую-то справку??? И это еще при том, что везде пишут про невероятную нагрузку на врачебную систему? А нам просто нужно целый класс здоровых детей из 30 человек привести в больницу для получения справки? А потом получить вспышку заболевания в классе? Педиатрам больше нечем заняться?Причем на сайте Минобра описан порядок действий при карантине и там явно написано, что ""По информации краевого Минздрава, для возвращения с карантина по ОРВИ или COVID-19 предоставления справки не требуется, если учащийся";Дистанционное образование
ЖКХ;месяц. Время ушло. Работы по ремонту кровли так и не начаты. Чем заняты;Непригодные для проживания жилые помещения
ЖКХ;4 подъезде воняет канальей,весь подвал затопило,трубы бегут,трубы меняйте,трубы отопление в подвале не изолировано,приведите порядок,и наче;★ Затопление подъездов, подвальных помещений
Благоустройство;в Администрацию каждый раз по поводу лестцы с 1 Карпат до Гостроя?....Кто-то должен смотреть за состоянием территории. Опять все лестницы заросли, пока спустились вся одежда в грязи. Не кто не желает следить;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
Социальное обслуживание и защита;в Лысьве есть ёлка желаний для детей;Инвалиды
Дороги;бы с улиц так убирали как свечки втыкали.;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Здравоохранение/Медицина;'Дмитрий Николаевич, когда появится карбамазепин, у меня сын с;Отсутствие лекарств в аптеках
Общественный транспорт;18 в направлении Янаульской и Дружбы. С учетом пробок с выездом в 07.05 с Камкабеля на работу к 08.00 не;График движения общественного транспорта
Общественный транспорт;день, как думайте у нас такое будет? Это для ребят;Льготы на проезд и тарифы
Образование;и стабильная телефонная связь и интернет. Его жене работу не найти, кроме сельского хозяйства. Об этом не директор;Социальная поддержка учителей
Образование;на повышенную стипендию в вузе, но для подачи;ВУЗы и ССУЗы
ЖКХ;'Здравствуйте, скажите пожалуйста, что это;Завышение платы за коммунальные услуги
ЖКХ;Замкнуло нет света провод оторвало;Отсутствие электричества
ЖКХ;читать эти пункты и там и;Завышение платы за коммунальные услуги
Здравоохранение/Медицина;ночь , выходные дни!!! Какой врач , вот так и люди умирают Не Дождавши Скорую помощь, Раз его знаю уже что он;★ Скорая помощь
Дороги;Куйбышева после чкалова до Васильева в дырах;Ямы и выбоины на дороге
ЖКХ;же не поняла будет ли делаться в;Ремонт подъездов
Дороги;не соответствует нормам, судя по фото 1 и 2, не заговаривайте зубы мне), которое указано на фото 3, на дороге, которая ведёт к школе, вы вместо этого уже который (второй или третий) раз засыпываете несколько;Ремонт дороги
Газ и топливо;счётчик, газовая сигнализация, труба и;Стоимость, оплата и возврат средств на газификацию
Здравоохранение/Медицина;быстро приняли, быстро сделали рентген и также быстро доктор дал заключение - ПЕРЕЛОМ верхнего конца локтевой кости,;Ошибки врачей, халатность
Коронавирус;сами пришли к дежурному врачу в поликлинику, сдали тест на Ковид, результат положительный. Они получили предписание по лекарствам, неделю лечились дома. Сегодня по прошествии недели они вновь;Самоизоляция и карантин
Социальное обслуживание и защита;нужны документы чтобы оформить опекунство над человеком у которого нет ноги?;Инвалиды
Благоустройство;вывоз отходов. Пусть платят жильцыанонимно;Уборка территорий
Образование;А в этом году купили квартиру в микрорайоне погода. Как теперь быть? Что нужно сделать что бы попасть;Устройство в ДОУ
Благоустройство;освещением в частном секторе?На главных улицах до конечных остановок;★ Неисправные фонари освещения
Социальное обслуживание и защита;указу Губернатора,подходят ли под выплату победили;Оказание гос. соц. помощи
Благоустройство;по ремонту тротуаров около школы 116 во двор на ул. Студенческая 22. Нам неделю назад по программе благоустроили двор, положили новый асфальт и бардюры. А нам сейчас это всё ломают. Печально осознавать что;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Социальное обслуживание и защита;"жилью по программе ""молодая семья"", Свердловский";Улучшение жилищных условий
Электроснабжение;проезжую часть, после ремонта освещения на;★ Повреждение опор ЛЭП
Дороги;раз он считает, что в м/р Владимирский проживают недочеловеки, то и убирать;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
ЖКХ;кадастру. Налог болтшой. Ближайшие годы мб землю и скупят,;Другие проблемы с общедомовой системой водоотведения (канализации)
Культура;были,там много дыр ужасный каток;Культурно-досуговые мероприятия
Образование;"чего было стоить такое здание, если там не добавили классов. Недавно переехали в этот район, сходили в старую школу, там как в консервной банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить, а нам смеются в ответ, ""нет мест, у нас.. Школа большая но количество классов прежнее, не добавилось и значит как не было мест так и нет"".";Нехватка мест в школах
Социальное обслуживание и защита;группы с детства! Я просила у;Создание доступной среды для инвалидов
Дороги;становится всё больше и больше.Прошу;Ремонт дороги
Образование;контроль и психологическое давление. Видимо в этом детском саду все педагоги работают плохо. А что делается в районе чтобы люди повышали свой профессиональный уровень? Закрыли все методобьеденения, не проводятся никакие мероприятия для педагогов.Как повышать категории? Почему господа из управления образования ничего не организовывают по району? Обучения и роста нет, только;Зарплата учителей
Здравоохранение/Медицина;головного мозга. Возможно ли оформление инвалидности?;Профильный осмотр
ЖКХ;стоит вода фундамент подмывается Комфорт от нас отказался сейчас Яйва Дом мы все платим и за содержание и;★ Затопление подъездов, подвальных помещений
Общественный транспорт;опасным? Перекрёсток Ярославского и Солдатова;Пешеходные переходы и жд переезды
ЖКХ;УК посадят уже? Мою два раза подделывали.;Жалобы на управляющие компании
Дороги;"по ""лежачему полицейскому"", а во время ремонта фасада, в этом году - после снятия штукатурки, на кирпичной кладке была обнаружена большая вертикальная трещина от первого до пятого этажа (которую зафиксировала председатель ТСЖ ""Компрос 71"").А сейчас, после укладки асфальта, происходит монтаж нового ""лежащего полицейского"" на старом месте!А если случится обвал угла дома, как несколько лет назад на ул Куйбышева? Кто за это";Предложить установку нового лежачего полицейского (ИДН)
ЖКХ;квитки оплачиваем по заоблачным ценам!;Ненадлежащее содержание и эксплуатация МКД
Физическая культура и спорт;края], а будет тогда построен новый футбольный;Строительство спортивной инфраструктуры
Социальное обслуживание и защита;трудовой стаж 35 лет входит ли учеба;Пенсионеры и ветераны
Социальное обслуживание и защита;в соц найме ребёнок инвалид подавала документы на предоставления другово жилья а мне пришол отказ т к;Улучшение жилищных условий
"МФЦ ""Мои документы""";подскажите есть ли такая услуга в мфц?соцзащита как-то неуверенно отправляет меня через мфц писать заявление, хотя ранее я;"МФЦ ""Мои документы"""
Дороги;человека, а по 6 хотя бы? Гораздо быстрее бы;Ремонт/строительство мостов
ЖКХ;этом не просить ничего, а;Жалобы на управляющие компании
Образование;что положено. Мы нам домашнем обучении. Хим препараты пъём дома. И нам;Питание
Образование;'А минпросвещения не хочет озаботиться обеспечением всем нужным для школ и детских садов?Вода,;Содержание гос. образовательных организаций
Дороги;Дружбы с обеих сторон. Троих человек увезли;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
ЖКХ;"тарифы?!У нас что - вода стала лучше, в домах стало комфортно, ремонты сделаны ""золотые""!?Ну не понятно мне, что за беспредел...Когда уже за наши деньги отчитываться начнут, ведь это наши деньги - народа, жильцов в конце концов 😳 Только насчитывают своевременно, а дома без ремонтов, трубы старые, окна деревянные до";Ненадлежащее содержание и эксплуатация МКД
Строительство и архитектура;набережную, обычная тропинка.Там постоянно грязь и;Архитектура города
Общественный транспорт;для жителей города и бюджета.;Добавить новый маршрут
Благоустройство;на тротуаре. Пройти можно, но тротуар сужен на половину. Вывозить-то;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
ЖКХ;вопрос :в марте месяце мужу исполнилось 70 лет,по информации должны платить;Сборы за капитальный ремонт
Образование;но количество классов прежнее, не добавилось и значит как не;Нехватка мест в школах
Общественный транспорт;укрыться под крышей. Что в этом плохого?А про останавливающиеся автобусы на остановке можете рассказывать моей бабушке,;Содержание остановок
Образование;заявление через госуслуги на получение места в детский сад на полный день. Нам предоставили сад на 4 часа, нам 1.3 г.;Устройство в ДОУ
Благоустройство;г, +79504493959. Доброе утро, вот так уже какой;Нарушение правил проведения земляных работ
Здравоохранение/Медицина;вопросу по лечении.Для личении болезни должна была проходить курс химии теропии гематолог назначен «Эндоксан»В аптеках данный препарат не оказалось и как сказали и не будет.Другой препарат нам не заменили.Получается что данный момент ни какой;Отсутствие лекарств в аптеках
Социальное обслуживание и защита;случае земля под домом и все квартиры, кроме муниципальных, перейдут в собственность города. При этом новое жилье людям обещают предоставить только до 2030;Аварийное жилье/переселение
Здравоохранение/Медицина;городскую больницу. (С грудничками посылают в Пермскую больницу, а как пожилые должны ездить? Когда до магазина, сил нет сходить?) За;Нехватка или сокращение врачей и медицинских учреждений
Общественный транспорт;по 4 маршруту (они же и по 77 кстати) Сидячих мест не много, проходы узкие не протолкнутся,;Изменение класса и количества автобусов
"МФЦ ""Мои документы""";ли написать жалобу через госуслуги?;Государственные услуги
Коронавирус;то объявляли всякие локдауны, всё было закрыто... Сейчас же, когда больше 2 000 заболевших, закрыли только поликлиники...;Коронавирусные ограничения
Здравоохранение/Медицина;у меня ребёнок живёт и лечится ингаляциях пульмикорт и беродуал.;Отсутствие лекарств в аптеках
Дороги;выделенную полосу в сторону стахановской;Пробки
Общественный транспорт;расписание до к-лога, последний рейс в 18-00,работающему человеку это очень не удобно, после работы ехать в сад только на час, что бы потом успеть на последний автобус, т. к. автобусы из деревень едут полными. Если у к-лога(8-сад)еще есть место, то впереди ещё 4 остановки как добираться остальным. На такси;График движения общественного транспорта
Здравоохранение/Медицина;Чернушке нет кардиолога, гастроэнтеролога . В;Нехватка или сокращение врачей и медицинских учреждений
Мусор/Свалки/ТКО;вопрос по экопунктам, когда появятся в;Строительство объектов по обращению с отходами
Благоустройство;сквере Михеева поставили какую то ерунду из льда вокруг которой можно ходить без куар-кода и четыре цыфры 2022. Спасибо конечно. Вы же не хотели тратить деньги на ледянын селедки под шубой в центре, я;Парки и зоны отдыха
Здравоохранение/Медицина;'Вызвать врача не возможно, скорую вызываем, отвечают ждите, но точно не скоро, у;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
ЖКХ;свой счет. Зимой в подъезде это все замерзнет и каналья и труба с холодной водой. Если к этому времени еще не затопит квартиры.В 6 квартире, этого же дома, лопнула батарея. Комнату без конца топит, пока еще холодной водой. Хозяевам пришлось;★ Засор в общедомовой системе водоотведения (канализации)
ЖКХ;добиться от управляющей компании ремонта крылец, которые находятся в ужасном состоянии;Неисправность выступающих конструкций: балконов, козырьков, эркеров, карнизов входных крылец и т. п.
Экология;река Ива окрасилась в красный цвет. Об этом они сообщили в социальных сетях. Река;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Образование;на IT профессии после 9 класса? Если да, то в какие колледжи ? Спасибо;ВУЗы и ССУЗы
Здравоохранение/Медицина;клинические исследования?2. Будет ли компенсация за осложнения (а без них не бывает испытаний)?3. Родители принимают все риски на себя? какая ответственность врачей, если что-то пойдет;Вакцинация
"МФЦ ""Мои документы""";можно записать ребенка через Госуслуги в кружки или секции. При выборе региона, в списке нет Пермского края.;Государственные услуги
ЖКХ;"'Позор управляющей компании ""территория партнёрства"" Вот так они";Ремонт подъездов
Образование;картину- круглые сутки правоохранительные службы охраняют военкомат, вот мне лично интересно и тревожно- а почему после происшествия в Ижевске не охраняют;Безопасность образовательного процесса
Общественный транспорт;маршрут сегодня тоже не работали валидаторы;Льготы на проезд и тарифы
Спецпроекты;на митинг, торжественная часть! До слёз!;Спецпроекты
Социальное обслуживание и защита;квартире) по выложенным дверным полотнам вместо пола доберешься, адреналина хапнешь! По лестнице почти по воздуху, не;Аварийное жилье/переселение
Социальное обслуживание и защита;с. КУЛТАЕВО Пермского района. Пенсионерка. Мне нужна справка из Соцзащиты, что я не являюсь получателем социальных выплат. В официальной группе отделения;Оказание гос. соц. помощи
Дороги;'Кто ответит на вопрос: Почему в городе закрывают парковочные карманы? И;Организация парковок
Безопасность;до 22.00 сверлят перфоратором или песни поют. Чаще -;Безопасность общественных пространств
Образование;пор нет отопления. Будем ждать;Проблемы с отоплением детских садов и школ
Образование;"было стоить такое здание, если там не добавили классов. Недавно переехали в этот район, сходили в старую школу, там как в консервной банке, решили подождать пока откроют новую, и вот открыли. Пришли в школу о переводе поговорить, а нам смеются в ответ, ""нет мест, у нас.. Школа большая но количество классов прежнее, не добавилось и значит как не было мест так и нет"". Вопрос зачем было стоить такую, новую, красивую, дорогую, школу если";Нехватка мест в школах
Здравоохранение/Медицина;'В Род доме нет нужных лекарств,;Отсутствие лекарств в стационарах
Коронавирус;скажите куда можно обратиться с жалобой на медучреждение?;Жалобы на врачей
ЖКХ;заявлений, предписание и что?? УК только название меняет;Ремонт подъездов
ЖКХ;случилось с лифтами на строителей 5..?;Лифт неисправен или отключен
Социальное обслуживание и защита;на детей будут или нет.;Задержка выплат гражданам
Мусор/Свалки/ТКО;поставить уже год не может, позор! Все цветной контейнер стоит куда все складывают;Проблемы с контейнерами
Здравоохранение/Медицина;'Благодаря которому люди смогут избежать заражения гепатитом,вич спид и заболеваний;Содержание больниц
Дороги;'[club57433185|Пермь Первая], вы хоть не рассказывайте про круглосуточный режим людям, которые через мост ежедневно ездят и видят, что;Ремонт/строительство мостов
Коронавирус;будет отменена обязательная вакцинация в;Коронавирусные ограничения
Мусор/Свалки/ТКО;Елькина, 3, который собирается жильцами соседних домов. Эта;Выброс мусора нарушителем
Образование;детей в дет сад Эрудит.;Устройство в ДОУ
Связь и телевидение;под фото Героя. Блокируйте и удаляйте тролей.;★ Информационно-техническая поддержка
Коронавирус;Если находился в контакте с больным, самоизоляция больше;Самоизоляция и карантин
Газ и топливо;года газ ведут до границ;Сроки газификации
ЖКХ;Жители дома обращались в городскую администрацию с просьбой разобраться в ситуации, но там тоже не владеют информацией и отвечают отговорками ИГРЕ, просим разобраться в данной ситуации, и обязать Уют Сервис устранить неполадки. С уважением собственники дома 56;Отсутствие горячей воды
Образование;получить образование на историческом (историко-политологическом) факультете в рамках целевого обучения. Мы из г. Чусовой, в управлении образования нашего города ответили,;ВУЗы и ССУЗы
ЖКХ;сидим без отопления. Профессора Дедюкина;Ненадлежащее качество или отсутствие отопления
Благоустройство;закончат благоустройство двора по Садовой 27 Все разворошили, засыпали шлаком, дышать невозможно!;Благоустройство придомовых территорий
Здравоохранение/Медицина;мне 58 лет, я могу;Диспансеризация
Благоустройство;хорошо поработали> Екатерина, добрый день, работы по восстановлению лестницы будет проведены до конца мая. Спасибо;Разрушение тротуаров и пешеходных дорожек
Благоустройство;машин стало меньше, но парковка не законная на газоне продолжает;★ Парковка на газонах
Общественный транспорт;Реки и Нижнию Васильевку необходимого для поездки детей в школы, а стариков в магазин.;Добавить новый маршрут
Электроснабжение;не идёт как поставили так и стоят на новые не подключают. Прикрепляю видео это самое большое как;Качество электроснабжения
ЖКХ;все объявления что закрыто на карантин. Просьба отреогироваь,;★ Протечки с кровли (системы водостока)
ЖКХ;19. Ужас, страшно мусор выбрасывать, под ногами;Дезинфекция МКД
Образование;обязательно сад должен быть выбран по месту жительства? Что делать, если по месту жительства не дают место в ДС? Можно ли отправить ребёнка в ДС в середине;Устройство в ДОУ
Образование;'Интересно, в каких именно школах Перми?;Дополнительное образование
Безопасность;А сейчас у них новая забава, поставить свой грузовик под окнами, открыть в нём;Безопасность общественных пространств
Здравоохранение/Медицина;аптека. идёт заболеваемость. нужны лекарства.;Отсутствие аптек
Благоустройство;УК Домовой ни дороги, ни парковки не чистят,;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
ЖКХ;изменилось в обслуживании, чтобы в очередной раз повысить тарифы? За что?! Так и живём - оплати, не понятно;Ненадлежащее содержание и эксплуатация МКД
Благоустройство;ранее была пешеходная тропинка на остановку, сейчас же все перегорожено забором, сейчас приходиться все обходить вокруг и по грязи т.к тропинки полностью отсутствуют.На скрине красным указанна бывшая тропиинка.Прошу вас узнать;Самовольная установка ограждений на территории общего пользования
ЖКХ;будут завершены не позднее конца августа, но к работам так никто и не приступил. Крыша-протекает в 4 подъезде.Фото подтверждение(в динамике) неоднократно отправлялись в;Некачественный капитальный ремонт
ЖКХ;проблему фасада дома, есть же директор этого заведения, берём веничек, совочек,;Перепланировка и реконструкция помещений
Безопасность;вопросу сбора средств для оказания гуманитарной помощи беженцам Украины. Есть у Вас информация;Беженцы
Образование;в санитарно не пригодных условиях, от грязи все дети заболели коньюктивитом. Обращение было направленно в;Содержание гос. образовательных организаций
Общественный транспорт;чем проблема делать все для;Пешеходные переходы и жд переезды
ЖКХ;'Второй день перебои с водой в городе.;Отсутствие холодной воды
Здравоохранение/Медицина;на ремонт больницы, состояние ужасное, как;Содержание больниц
Дороги;'А висячий мост когда будут ремонтировать?;Ремонт/строительство мостов
ЖКХ;и тот же ООО жпэт;★ Затопление подъездов, подвальных помещений
Дороги;не заметил ремонта,лишь грязь на обочинах;Некачественно выполненный ремонт дорог
Экология;заметили, что река Ива окрасилась в;Выбросы вредных веществ в водоёмы/загрязнение водоёмов
Образование;питания в школе по улице Орджоникидзе оставляет желать лучшего...;Питание
Здравоохранение/Медицина;пыталась записаться - мне специалист ответила,;Нехватка материально-технического обеспечения
Дороги;берега, эти автобусы пусть курсируют только по Гайве в Алешиху,троицу и тд.Разберем ситуацию люди поехали на дачу в Алешиху. Автобус идет с Молодежной. 2;Пробки
Социальное обслуживание и защита;'Пермский край у меня квартира в соц найме ребёнок инвалид подавала документы на предоставления другово жилья а мне пришол отказ т к жил площадь позваляет. Куда можно ещё обратиться. Пос углеуральский город губаха;Улучшение жилищных условий
Общественный транспорт;выездом в 07.05 с Камкабеля на работу к 08.00 не успеть.;График движения общественного транспорта
Здравоохранение/Медицина;Минздрава N57 от 4 февраля;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
Образование;и психологическое давление. Видимо в этом детском саду все педагоги работают плохо.;Зарплата учителей
Культура;и очереди большие на оплату!!!;Культурно-досуговые мероприятия
Здравоохранение/Медицина;что не съедобно, дак ещё то пересолят, то не досолят, то не доготовят и привезут сырое!;★ Питание в медицинских учреждениях
Социальное обслуживание и защита;что просили, но не вижу;Аварийное жилье/переселение
Социальное обслуживание и защита;безработная в декрете и получить новую специальность?Спасибо;Занятость и трудоустройство
ЖКХ;п.Невидимка в конце лето провела водопровод, было все хорошо но 26марта был в посёлке водоканал и напор воды стал не какой, стиральная машинка не может набрать воду,нет;Низкая температура воды/слабое давление
ЖКХ;И гор. Вода на СОИ? ПО 350руб.в месяц с каждой;Завышение платы за коммунальные услуги
Культура;давайте флешмоб устроим новогодней ёлки из машин?;Культурно-досуговые мероприятия
ЖКХ;СИХ ПОР ИДЁТ АКТЫ ПИСАТЬ!;Залитие квартиры
Социальное обслуживание и защита;пожалуйста вы по записи принемаете?;Социальные учреждения
ЖКХ;вопрос у меня бабушке 83 года она платит за капитальный ремонт в фонд пермского края ей должны возвращать 100% этой;Сборы за капитальный ремонт
Безопасность;9 до 19.00. И про тихий час тоже описать. А также вечеринки в многоквартирных домах. Даже дицебелы, думаю, надо прописать. Сосед с перфоратором, например, создает конкретный такой шум, но при этом всего 65 дцб;Безопасность общественных пространств
Благоустройство;По адресу: ул. Уральская, 110А участок дорожки,;Разрушение тротуаров и пешеходных дорожек
Мусор/Свалки/ТКО;снег.Трактор куда снег толкать?А отвечали что до;★ Стихийные свалки в городе/в парках/в лесу
Благоустройство;на Монастырской-Плеханова убрали. Непонятно, куда мусор нести.;★ Отсутствие урн, лавочек в общественных местах и дворовой территории
