Группа тем;Текст инцидента;Тема
Безопасность;на гражданство РФ,у меня сын 11 лет;Беженцы
Общественный транспорт;в Проекте работы по ремонту дороги на перекрестке Васнецова Кабельщиков Гайвинская ... но все же отпишусь...На данном участке (ул. кабельщиков) надо бы сделать Островок Безопасности. За счет Островка безопасности машины с Гайвинской на Васнецова а далее на Кабельщков будут поворачивать правильно. А пешеход на Васнецова перенести левее, так как машины которые едут со стороны камкабеля и поворачивают на васнецова, фактически;Пешеходные переходы и жд переезды
Образование;тут сделают и тоже признают аварийной. Куда;Содержание гос. образовательных организаций
Здравоохранение/Медицина;звать бабушек, Красное-белое был магазин, (там многое дешевле чем в монетке например) тоже закрыли!;Отсутствие аптек
ЖКХ;в нечистотах !!! Адрес;★ Затопление подъездов, подвальных помещений
ЖКХ;'Этой отопительной трубе;Ненадлежащее качество или отсутствие отопления
Образование;за наш счёт...;Строительство школ, детских садов
Образование;детский сад... На Ленина,65 уже строятся;Строительство школ, детских садов
Благоустройство;там просто гололёд. Примите;★ Нарушение правил уборки от снега и наледи территории парка и сквера
Дороги;сообщить о ходе работ по асфальтированию автодороги д.Канабеки - хутор Русское;Предложение дороги в план ремонта
Благоустройство;разы меньше, в;Самовольная установка ограждений на территории общего пользования
ЖКХ;У них нет даже графика осмотра колодцев, они и не знают, где они находятся? Летом , наш дом привели в более - менее хорошее состояние. Очистили подвал, отремонтировали холодное,;★ Засор в общедомовой системе водоотведения (канализации)
Образование;или подсказали где такую программу взять, чтобы при необходимости можно было использовать самим дома. Так как просто в интернете практически нет простого хорошего комплекса упражнений для дома. А второе направление;Общее впечатление
Благоустройство;состоянии, не обслуживаются, не отвечают безопасности)5. Проконтролировать работу перевозчиков (очень мало;Отсутствие детских площадок
Образование;квартиру есть договор но нотариусом;Нехватка мест в школах
Дороги;перекрёстке летят на обгон, пешеходов не;Предложить установку нового лежачего полицейского (ИДН)
"МФЦ ""Мои документы""";на оформление субсидии через мфц.Где и у;"МФЦ ""Мои документы"""
Здравоохранение/Медицина;на 3 препаратах, в;Отсутствие лекарств в аптеках
Мусор/Свалки/ТКО;мусор по всему погосту. Нужно;★ Стихийные свалки в городе/в парках/в лесу
ЖКХ;не успела в;Подключение к водоснабжению
Здравоохранение/Медицина;Подскажите кому можно позвонить, проконсультироваться в данном вопросе! Спасибо;Социальная поддержка медперсонала
Дороги;"в тёмное время суток, этот путь является единственным до школьных учреждений❗, в частности школы [club131307389|Официальная группа МАОУ ""СинТез""] , также [club174290036|МАДОУ ""Детский сад ""Симфония"" г. Перми] зачастую поток машин нескончаемый.Прошу:1. Соверишить выездую проверку.2. В дальнейшем продублировать дорожные знаки напоминающие водителям о действии знака ""Жилая зона"" .2. Установить искусственную неровность на перекрёстке улиц Байкальская - Черниговская.3. Сделать депутатский запрос на выездные мероприятия сотрудников ДПС с целью выявления нарушителей!Ирек Маратович [id3414788|Ирек] , прошу";Предложить установку нового лежачего полицейского (ИДН)
Роспотребнадзор;в социальных сетях,;Санитарно-эпидемиологическое благополучие
"МФЦ ""Мои документы""";немогу не до кого достучаться у меня на госуслугах висит больничный продлен и на работе не могут его распечатать дурдом . Говорит врач програма выдает ошибку а мне то чё делать когда я его получу .воспитываю одна 2 детишек .куда не обращаюсь везде говорят подождите;Государственные услуги
ЖКХ;на остановках рекламы;★ Несанкционированные надписи, рисунки, реклама на фасаде МКД
ЖКХ;с пятницы без воды;Отсутствие холодной воды
Образование;продолжаются нормально учиться? Про работу медучреждений- это все;Дистанционное образование
ЖКХ;112 сама лично звонила. Прошла неделя, тишина. У;★ Затопление подъездов, подвальных помещений
Благоустройство;о том, что в люки попадают дети, взрослые, а им всё не почём. Досочками прикрыл и норм. Другой люк, так вообще крутой. Положили крышку не ту и он как на шарнирах катается. Получается своего рода ловушка. Ты попадаешь в него, а крышка сверху закрывается.Забил уже на портал управляем вместе. Реально надоело ждать по пол года, а потом читать враньё. Пишут, что сделали, а на самом деле не сделали. Сразу написал про этот люк на шарнирах в прокуратуру. По крайней;★ Открытые канализационные люки
Образование;мне подсказать с кем можно подписать договор о;ВУЗы и ССУЗы
ЖКХ;вопрос когда у нас в городе будет наведён порядок по ЖКХ если;Жалобы на управляющие компании
Образование;вида выплату от колледжа сиротских?;Выплаты стипендий
Благоустройство;детский сад, прошу принять какие-нибудь меры по данному вопросу, фото сейчас прикреплю. Спасибо;★ Подтопление территории
ЖКХ;сказали написать заявление от собственников, затем выслали смету, но там такие суммы стоят, где берут они;Ремонт подъездов
Экология;а что происходит по ночам на Коксе? Дома дышать не возможно;Выбросы вредных веществ в атмосферу/загрязнение воздуха
Благоустройство;и под подъезд;Отсутствие общественных туалетов
Благоустройство;,что деревья больны,это от вашей -горзеленстрой ''санитарной'' обрезки.Вон, у нас ';★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
ЖКХ;отремонтировали, но реально до настоящего момента, не сталкивались с этой проблемой. И тут опять началось, вызвала аварийную службу,;★ Протечки с кровли (системы водостока)
Дороги;И просто не хватает;Организация парковок
ЖКХ;до 10.00 утра не отключайте, не успела в баню воды набрать, сейчас вечером уже не;Подключение к водоснабжению
Физическая культура и спорт;события они ждут ? Району необходим спортивный центр;Строительство спортивной инфраструктуры
Социальное обслуживание и защита;сам инвалид решиться купить самостоятельно, то компенсация смешная! Купил за 30т вернули 15, а то и 10 тыс..про другие ТС вообще;Инвалиды
Благоустройство;'> ['Анонимно.\nДорогие друзья, жители боровиков! Кто может подсказать законны ли данные самовольные огорождения парковочных мест,;Самовольная установка ограждений на территории общего пользования
ЖКХ;срочно принимает меры а не ждёт 12;★ Прорыв трубы/трубопровода
ЖКХ;доме по Макаренко 14.;Жалобы на управляющие компании
Благоустройство;ни кто не вывозил будут таять до лета в тени двора, как в принципе и;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Дороги;переходы выглядят убого;Организация переходов, светофоров/Изменить организацию движения
Дороги;Гайвы? Это какая-то;Пробки
Социальное обслуживание и защита;но она назначила ещё врачей. Сегодня;Инвалиды
Общественный транспорт;натыкается на гору снега. Трамвайные пути . не;Пешеходные переходы и жд переезды
Образование;есть а куда делись классы с 1-4? Там что недети есть нехотят?;Питание
Здравоохранение/Медицина;- это везде так???;Низкая заработная плата врачей
Благоустройство;с администрацией Мотовилихинского района не закрыт и продолжает вонять;★ Открытые канализационные люки
Благоустройство;кучу снега на коммунаров 17, чтобы выехать, и убедиться в безопасности движения, нужно выехать на полосу движения, из за кучи машин не видно.;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Образование;получение аттестат ученика 9;Образовательный процесс
"МФЦ ""Мои документы""";Защиты в орджоникидзевском районе. Они не берут трубку.;Государственные услуги
Торговля;разложились на весь тротуар не проехать ни пройти.;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
Здравоохранение/Медицина;уж месяц работать;Нехватка материально-технического обеспечения
Электроснабжение;напряжение даже воды набрать;Качество электроснабжения
ЖКХ;по адресу без квитанции?;Плата за ЖКУ и работа ЕИРЦ
Благоустройство;исторического сквера в квартале улиц: работницы, Лебедева, Циолковского?Какая Перспектива;Парки и зоны отдыха
Благоустройство;не подобрать,комбинат благоустройства не работает;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
Дороги;размыло,опять просмотрели..и виновных нет;Пробки
Физическая культура и спорт;"'Стадион ""Кама"" стоит заброшенный, посмотрели бы, сколько народу там занимается сейчас. Жалко денег на приобретение стадиона в муниципальную собственность,";Ремонт спортивных учреждений
Образование;вводить дистанционное обучение,;Дистанционное образование
Здравоохранение/Медицина;"...... из Пермского краевого онкодиспансера"" Б/У";Нехватка материально-технического обеспечения
Благоустройство;свалки мусора цетр улицы;Уборка территорий
Общественный транспорт;ездить до последнего времени, как я понимаю, это время 23:30. Ну у всех по разному, по крайней мере я езжу на;График движения общественного транспорта
ЖКХ;домов люди не ходят, а ползают!;★ Наледь и сосульки на кровле
Благоустройство;'2 месяца двор был перекопан вокруг ЦТП. Усердно ремонтировали. После того, как включили воду после 2-х недельного отключения ещё почти 2 недели ежедневно отключали воду для ремонтных работ.Сейчас 2-ую неделю почти каждый день подаем заявки в ТПлюс. В пятницу это был дефект на бесхозе, в пн происходила наладка теплоносителя, сегодня снова дефект на бесхозе. Замкнутый круг какой-то.Зато квитанции не забудут выставить;Нарушение правил проведения земляных работ
Дороги;бы так рады были!!! А ещё бы асфальт сделали, то тогда в двойне бы отблагодарили администрацию!!!;★ Несоблюдение правил уборки проезжей части
ЖКХ;стоит на весь двор, а там гуляют дети. Просьба помочь с;★ Прорыв трубы/трубопровода
Дороги;нему ларьки и гонять уличных торговцев вокруг .У нас все подземные переходы;Организация переходов, светофоров/Изменить организацию движения
Коронавирус;там же еще;Тесты на коронавирус
Коронавирус;лица из администрации детского сада (в качестве проверяющего);Коронавирусные ограничения
ЖКХ;49 и других домов. Тоже бегают крысы, всё разбросано и стекло;Дезинфекция МКД
Экономика и бизнес;текущего года не выплачивает заработную плату работникам, выполняющим обязанности по сбору ТКО на территории Чусовского городского округа? О сложившейся ситуации сегодня поставлен в известность губернатор края Дмитрий Махонин. Администрация Горнозаводского теплоэнерго пообещала до конца текущей недели выплатить работникам заработную плату за март и апрель. Если долг по зарплате не будет погашен в указанный срок, работники вынуждены будут прекратить выполнение;Трудоустройство
Благоустройство;огромная просьба разобраться с закрытием прохода вдоль мастерских колледжа в мкр. Молодёжный по адресу Академика Веденеева, 9. Я обеими руками за безопасность наших детей! Но в данном случае какая то акция;Установка ограждений, препятствующих въезду на тротуар, газон на дворовой территории МКД
Здравоохранение/Медицина;но он так и не выгружается, звонила снова, сказали идите к регистратору и подтверждайте его. Звонила регистратору 25.02.22, но на сегодняшний;Профильный осмотр
Образование;крае сколько открыто медицински классов? Один есть на нашей территории, а так их вообще сколько?;Образовательный процесс
ЖКХ;"установила водонагреватель. Всё это время мы терпели, Но вот сегодня допустим произошел инцидент. В 03:00 ночи отключили холодную воду, Управляющая обратилась в водоканал...водоканалу некогда..... ВООБЩЕ все на нас ""ЗАБИЛИ"", отвечают, что будут";Отсутствие холодной воды
Образование;по строительству детских и спортивных площадок. Как и кому передаются на баланс, кто следит за;Строительство школ, детских садов
Социальное обслуживание и защита;колясочников . Тот пандузчто имеется;Создание доступной среды для инвалидов
Дороги;решить проблемы с дорогами, родником и свалками. Рядом с авторазбороми лесопилкой очень много мусора. Вообще арендаторы старой фермы порядок вокруг своих;Строительство или реконструкция дорог
ЖКХ;работает, дак вот эти пол года, наша администрация всё решает и решает, никаких действий не принимают, надо действительно Махонину писать или сразу Путину, за, что платим?;Лифт неисправен или отключен
Здравоохранение/Медицина;я проживаю в г. Нытва Пермский край. Вопрос такой,неделю назад выписали из больницы, диагноз остеохондроз шейного отдела. Мучают постоянные головные боли, приступы, кроме кт и рентгена ни чего не делали. Поддерживали медикаментозно, для;★ Просьбы о лечении
Культура;лично губернатору,что проходит масса мероприятий и практически все бесплатные!!! Просто восхищает и радует!!!! Спасибо большое за заботу о жителях!!!.У меня;Учреждения культуры
Дороги;горизонтально в метре;Предложить установку нового лежачего полицейского (ИДН)
Здравоохранение/Медицина;видимо три месяца мне принимать не нужно?!;Ошибки врачей, халатность
Здравоохранение/Медицина;ходят через раз!;Нехватка или сокращение врачей и медицинских учреждений
Благоустройство;Ленина и таких мест много;★ Ямы во дворах
Дороги;- это перекресток равнозначных улиц? Знаков ПДД нет. Поэтому при спуске с Чернышевского на перекрестке с Жданова;Содержание дорожных знаков/Установка новых дорожных знаков, с внесением в схему дислокации, замена старых знаков на новые
ЖКХ;набрать, сейчас вечером уже не охота;Подключение к водоснабжению
Благоустройство;2 вопрос, люди парковались и будут парковаться около дома 63 и 61а, после 9 подъезда где? Поставили бордюры . Почему их нельзя положить как около 55;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
ЖКХ;дворе дома ул. Льва толстого 49 и других домов. Тоже;Дезинфекция МКД
Дороги;СМИ официальную информацию. Подумайте о людях, которые живут напротив новой школы, они задыхаются от пыли. О пешеходах, которые утром идут на работу;Ремонт дороги
Здравоохранение/Медицина;фельдшера отдуваются... всех пихают к платным докторам.. ..скоро будут ставить диагнозы по интернету...... так же и стоматологи исчезли... то ли ещё будет... ой ..ее ..ой..;Нехватка или сокращение врачей и медицинских учреждений
Образование;лидером в параллели по учи.ру. Нам есть что показать новой школе. В;Нехватка мест в школах
ЖКХ;зачем!?и так сойдёт,а то что с одной стороны дома люди идут на остановку,с другой стороны идут так же на противоположную остановку и в магазин Манго,8-ой год как;★ Наледь и сосульки на кровле
Культура;только в Лысьве?;Учреждения культуры
Благоустройство;вечером (особенно зимой) очень темно и невозможно ходить;★ Неисправные фонари освещения
Здравоохранение/Медицина;пожалуйста,когда поступят смеси?;Льготные лекарства
ЖКХ;жители уже не первый год к себе чувствуем. Обращались в администрацию, -администрация снова в водоканал-А у них отговорки, то работать некому то все на планерки..... то завтра. Я все понимаю.....НО уже терпение кончилось. НАШ адрес: ПЕРМСКИЙ КРАЙ, г. Чайковский, ул. КАМСКАЯ 6, КАМСКАЯ 8 и КАМСКАЯ 10 -без холодной воды. ПРОСИМ разобраться. тел водоканала;Отсутствие холодной воды
ЖКХ;под двумя одеялами🎅;Ненадлежащее качество или отсутствие отопления
Благоустройство;вся в кочках,;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
Благоустройство;вопрос по поводу расчистки от снега хоккейной коробки.;★ Нарушение правил уборки от снега и наледи детской игровой и спортивной площадки
Общественный транспорт;29 садика в сторону новой площадки, очень;Пешеходные переходы и жд переезды
Мусор/Свалки/ТКО;потом вручную сгружается в машину. Контейнеры раньше тут стояли, даже осталась площадка от них. До ближайшего контейнера жителям этих домов идти далеко. 3;Проблемы с контейнерами
Строительство и архитектура;сквер появится мои девочки вырастут. Поликлинику ждём;Строительство социальных объектов
ЖКХ;в этой квартире, я снимаю, но тут мне приходит смс от приставов, что я должна вам денег? Почему крайней сделали меня, а не сестру;Плата за ЖКУ и работа ЕИРЦ
Социальное обслуживание и защита;компенсация за коммунальные по многодетным;Задержка выплат гражданам
Общественный транспорт;наблюдаем следующую картину?;Неудовлетворительные условия проезда в транспорте на действующем маршруте
Благоустройство;'Сообщение без текста;★ Открытые канализационные люки
Образование;порядка 40-50 мин общественным транспортом через центральный рынок. К лицею у меня претензий нет, но возить ребёнка сейчас для меня крайне сложно, в семье есть ещё двое маленьких детей. И начальная школа должна быть рядом с домом. Как я могу перевести ребёнка в школу по прописке??? При этом ребёнок имеет высокую успеваемость, участвует в олимпиадах, является лидером в параллели по учи.ру. Нам есть что показать новой школе. В свою очередь,;Нехватка мест в школах
Благоустройство;'[club134244297|Администрация Губахи - Официальная страница], а;Вырубка деревьев, кустарников
Дороги;ней проживает, так и многочисленных садоводов. Капитальный ремонт дороги планировался на 2023 год, что касается текущего содержания, то по информации ООО «АДС», грейдирование щебеночного покрытия улицы Садовая будет проведено в ближайшую неделю, а в дальнейшем, до начала капитального ремонта, проезжая часть будет выравниваться и подсыпаться не реже одного раза в месяц.Автор:;Ремонт дороги
Здравоохранение/Медицина;монетке например) тоже;Отсутствие аптек
Образование;нас и наших детей и педагогов;Содержание гос. образовательных организаций
Строительство и архитектура;Березниках бы ещё проинспектировать строительство больницы... ;Строительство социальных объектов
Социальное обслуживание и защита;кем связаться, по поводу;Волонтерство
Общественный транспорт;вернули прежние маршруты.;График движения общественного транспорта
Благоустройство;не изменилось ( прошла неделя)Также секретарь не двусмысленно дала понять что лучше написать жалобу, так дело сдвинется быстрее с мертвой точки!*У меня грудной ребенокПеридвигаться с коляской очень сложно!*Проезд легкового транспорта затруднен (уже был случай что автомобиль застрял в этой яме )Если необходимо мы можем подать претензию;Нарушение правил проведения земляных работ
Благоустройство;улицах? Деревья срубили, убрать не хотим?Пусть все замерзает и валяется, скоро ведь всё равно запорошит снегом. Обратите внимание, и не позорьте красоту улиц и дворов г. Губаха. Приведите всё в соответствие. Или это уже шалашная деревня?Детские площадки делать не хотим, лучше свалку деревьев;★ Нарушение правил уборки и вывоза порубочных остатков
Физическая культура и спорт;школы в городе в этом году будут строить школьный стадион но что то;Строительство спортивной инфраструктуры
Дороги;ручей бежит. Это около мусорки.;Подтопление автомобильных дорог
Здравоохранение/Медицина;7, а нам;Здравоохранение прочее
Социальное обслуживание и защита;с кем связаться, по поводу волонтёрста;Волонтерство
Социальное обслуживание и защита;выплаты.Мои данные Шантарина Анастасия Львовна . Дата рождения;Дети и многодетные семьи
Мобилизация;семьи и на его еждевении находится мой ребёнок и я не прохожу на эту выплату т.к з/п превышает прожиточный минимум на всех членов семьи. Не смотря;Поддержка семей мобилизованных
Дороги;нет. Будем продолжать;Строительство или реконструкция дорог
Здравоохранение/Медицина;5 лет, так как дети до 5 дет считаются в группе риска. Вопрос: к кому;Отсутствие лекарств в стационарах
Общественный транспорт;для автобусов из Перми, и с чем связана отмена этих остановок. Может надо саму остановку установить. Раньше было удобно когда они останавливались здесь.;Отсутствие остановочных пунктов
Газ и топливо;подвести газ к дому надо заплатить 50к,а где их взять;Стоимость, оплата и возврат средств на газификацию
Дороги;от компросаСреднюю размыло,опять;Пробки
Дороги;'[id367600551|Сергей], так улица Ленина тоже в ужасном состоянии😁;Подтопление автомобильных дорог
Связь и телевидение;ли ожидать скорого рассмотрения.С;★ Информационно-техническая поддержка
Мусор/Свалки/ТКО;уму должны стоять контейнеры для сбора мусора. Ау! Администрации районов, пора уже присоединяться к решению проблем с мусорным;Проблемы с контейнерами
Образование;продолжаются нормально учиться? Про работу медучреждений- это все на сегодня от оперштаба? Или про шкооы;Дистанционное образование
Общественный транспорт;надо саму остановку установить. Раньше;Отсутствие остановочных пунктов
Социальное обслуживание и защита;по нытвенскому району?;Социальные учреждения
Дороги;не смешно? Или может быть стыдно хоть чуть;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
Благоустройство;основание детской площадки;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
ЖКХ;находиться в соц. найме. Дом старый и требует капитального ремонта, стены совсем гнилые и держаться только за счёт деревянных рам. Мы обращались чтоб написать заявление на ремонт, от куда маму отправили даже не приняв;Непригодные для проживания жилые помещения
Образование;путёвок в лагерь;Детские оздоровительные лагеря
Физическая культура и спорт;денег на приобретение стадиона в муниципальную;Ремонт спортивных учреждений
Коронавирус;'Здравствуйте! Скажите пожалуйста как учитывать контакт ковид? Если сдал оак 3марта, мазок взяли этого же числа,;Самоизоляция и карантин
Здравоохранение/Медицина;ничего бесплатно не дали;Льготные лекарства
ЖКХ;и сейчас еле;Низкая температура воды/слабое давление
Здравоохранение/Медицина;помочь не можем.Я всё прекрасно понимаю, что всем и по записи, и не по записи надо попасть на ЭКГ, и сколько я помню, раньше всегда в очереди стояли один через один ( один по записи, один без ) Но сейчас это просто дурдом 🤬Уважаемые врачи гор. больницы, если вы ведёте приём СТРОГО по записи, так будьте добры ведите как положено, а если не;Очередь
Дороги;'Сообщение без текста;Необходима установка и замена дорожных ограждений
Коронавирус;есть отдельная статистика?;Коронавирус
Общественный транспорт;с транспортной карты при безлимите на 15 дней !?;Льготы на проезд и тарифы
Благоустройство;снега с реагентами складированы почему то на ул;★ Нарушение правил уборки и вывоза загрязненного снега и наледи на газоне
Физическая культура и спорт;на страницу с информацией, что забег в Краснокамске, да еще и 10 сентября. И чтобы докопаться до нужной информации, нужно;Спортивные мероприятия
Образование;аттестат ученика 9 класса?;Образовательный процесс
Здравоохранение/Медицина;как долго будет продолжаться данная ситуация.;★ Скорая помощь
Дороги;самом месте сбили человека на смерть. Водитель скрылся с места;Предложить установку нового лежачего полицейского (ИДН)
Роспотребнадзор;бегают вокруг подъезда. Подскажите, как действовать, чтобы решить проблему.;Обработка и уничтожение грызунов (дератизация)
Здравоохранение/Медицина;'Восстановите больницу и поликлинику в;Предложения по созданию лечебных центров
"МФЦ ""Мои документы""";узнать результат?В мфц говорят, что в Кировском районе на;"МФЦ ""Мои документы"""
ЖКХ;колонки нет(((((( даже такой были бы рады хотя;Отсутствие горячей воды
ЖКХ;вечером. В любом случае,;Низкая температура воды/слабое давление
Дороги;делать мост через реку Лысьва? Невидимка ,;Ремонт/строительство мостов
Дороги;о проблемах Перми,а не восхищаться своей Тупостью!!!;Некачественно выполненный ремонт дорог
Социальное обслуживание и защита;оформить социальный контракт;Оказание гос. соц. помощи
Государственная собственность;городе связанном с захватом площади Революции попом Сафонием при помощи администрации, против воли жителей города и депутатов.Однако ответа на;Региональное имущество
Коронавирус;больше недели ждём результатов теста, хотя сотрудники заболевших позже;Тесты на коронавирус
Здравоохранение/Медицина;Добрянку - ни одной??? Кому-то;Здравоохранение прочее
Здравоохранение/Медицина;вызываем скорую в 3 часа дня, в итоге звоним в 7 часов говорят ждите приедут после пересменки. Сказали, что человек весь опух и задыхается время сейчас 21:27 их;★ Скорая помощь
ЖКХ;муниципальных домов в посёлке невидимка;Перепланировка и реконструкция помещений
Образование;искать четвёртую работу 😢😢😢😢😢 цены дико ростут, садик платный, врачи только платные,;Зарплата учителей
Экономика и бизнес;8600 в личном кабинете стоит;Цены и ценообразование
Дороги;нас не столбов,не;Освещение неисправно или отсутствует
Здравоохранение/Медицина;очень грубой форме. Хамская интонация была не только в мою сторону, но и с другими пациентами.Высшее учебное заведение никак не повлияло на воспитание врача.Стыдно за;Хамство медицинских работников
Мусор/Свалки/ТКО;пора уже присоединяться к решению проблем с мусорным коллапсам. К Вам в помощь - администрации;Проблемы с контейнерами
Коронавирус;положительный результат на Covid-19 (относится он к Уралкалиевской больнице Альфа-центр здоровья), мы проживаем вместе с ребенком. Нам в такой ситуации как быть (действовать), тест ПЦР-нужно сдавать? Ведь на работу меня не примут без отрицательного ответа и ребенка в дет.сад?;Тесты на коронавирус
