id;Группа тем;Тема
603;Общественный транспорт;Содержание остановок
604;Социальное обслуживание и защита;Дети и многодетные семьи
605;Социальное обслуживание и защита;Оказание гос. соц. помощи
606;Социальное обслуживание и защита;Оказание гос. соц. помощи
607;Образование;Образовательный процесс
608;Общественный транспорт;Изменить или отменить маршрут
609;Связь и телевидение;★ Информационно-техническая поддержка
610;Дороги;Занятость и трудоустройство
611;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
612;Образование;Содержание гос. образовательных организаций
613;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
614;Социальное обслуживание и защита;Оказание гос. соц. помощи
615;Социальное обслуживание и защита;Оказание гос. соц. помощи
616;Здравоохранение/Медицина;Содержание больниц
617;Социальное обслуживание и защита;Государственные услуги
618;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
619;Коронавирус;Тесты на коронавирус
620;Дороги;Занятость и трудоустройство
621;Социальное обслуживание и защита;Оказание гос. соц. помощи
622;Коронавирус;Коронавирус
623;Социальное обслуживание и защита;Дети и многодетные семьи
624;Общественный транспорт;Отсутствие остановочных пунктов
625;Социальное обслуживание и защита;Дети и многодетные семьи
626;Мобилизация;Зарплата, компенсации, поощрения, выплаты
627;ЖКХ;Жалобы на управляющие компании
628;Социальное обслуживание и защита;Оказание гос. соц. помощи
629;Социальное обслуживание и защита;Оказание гос. соц. помощи
630;Социальное обслуживание и защита;Дети и многодетные семьи
631;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
632;Социальное обслуживание и защита;Дети и многодетные семьи
633;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
634;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
635;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
636;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
637;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
638;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
639;Дороги;Занятость и трудоустройство
640;Социальное обслуживание и защита;Оказание гос. соц. помощи
641;Здравоохранение/Медицина;Проблемы с контейнерами
642;Дороги;Дезинфекция МКД
643;Социальное обслуживание и защита;Оказание гос. соц. помощи
644;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
645;Социальное обслуживание и защита;Оказание гос. соц. помощи
646;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
647;Образование;Строительство школ, детских садов
648;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
649;ЖКХ;Завышение платы за коммунальные услуги
650;Дороги;Занятость и трудоустройство
651;ЖКХ;Отсутствие холодной воды
652;Здравоохранение/Медицина;Проблемы с контейнерами
653;ЖКХ;Жалобы на управляющие компании
654;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
655;Мусор/Свалки/ТКО;Плата за вывоз ТКО
656;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
657;Дороги;Занятость и трудоустройство
658;ЖКХ;Отсутствие горячей воды
659;ЖКХ;★ Открытые канализационные люки
660;ЖКХ;Жалобы на управляющие компании
661;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
662;ЖКХ;Жалобы на управляющие компании
663;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
664;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
665;ЖКХ;Жалобы на управляющие компании
666;Дороги;Занятость и трудоустройство
667;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
668;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
669;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
670;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
671;Дороги;Пробки
672;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
673;Дороги;Занятость и трудоустройство
674;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
675;ЖКХ;Отсутствие холодной воды
676;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
677;Здравоохранение/Медицина;Содержание больниц
678;ЖКХ;Ненадлежащее качество или отсутствие отопления
679;Социальное обслуживание и защита;Оказание гос. соц. помощи
680;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
681;ЖКХ;★ Протечки с кровли (системы водостока)
682;ЖКХ;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
683;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
684;Социальное обслуживание и защита;Оказание гос. соц. помощи
685;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
686;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
687;Физическая культура и спорт;★ Прорыв трубы/трубопровода
688;Здравоохранение/Медицина;★ Скорая помощь
689;Социальное обслуживание и защита;Дети и многодетные семьи
690;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
691;Дороги;Занятость и трудоустройство
692;ЖКХ;Ненадлежащее качество или отсутствие отопления
693;Общественный транспорт;Поддержка семей мобилизованных
694;Социальное обслуживание и защита;Дети и многодетные семьи
695;Здравоохранение/Медицина;Содержание больниц
696;Здравоохранение/Медицина;Нехватка материально-технического обеспечения
697;Здравоохранение/Медицина;Проблемы с контейнерами
698;Мусор/Свалки/ТКО;Плата за вывоз ТКО
699;Здравоохранение/Медицина;Отсутствие лекарств в аптеках
700;Социальное обслуживание и защита;Дети и многодетные семьи
701;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
702;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
703;Благоустройство;Уборка территорий
704;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
705;Социальное обслуживание и защита;Оказание гос. соц. помощи
706;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
707;ЖКХ;Жалобы на управляющие компании
708;ЖКХ;Жалобы на управляющие компании
709;ЖКХ;Ненадлежащее качество или отсутствие отопления
710;Благоустройство;Уборка территорий
711;Дороги;Занятость и трудоустройство
712;ЖКХ;★ Засор в общедомовой системе водоотведения (канализации)
713;Здравоохранение/Медицина;★ Скорая помощь
714;Мусор/Свалки/ТКО;Плата за вывоз ТКО
715;Социальное обслуживание и защита;Дети и многодетные семьи
716;Социальное обслуживание и защита;Оказание гос. соц. помощи
717;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
718;Социальное обслуживание и защита;Дети и многодетные семьи
719;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
720;Здравоохранение/Медицина;Профильный осмотр
721;Социальное обслуживание и защита;Оказание гос. соц. помощи
722;Социальное обслуживание и защита;Дети и многодетные семьи
723;Строительство и архитектура;Строительство зданий
724;ЖКХ;Завышение платы за коммунальные услуги
725;Образование;Кадровые перестановки
726;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
727;Здравоохранение/Медицина;Содержание больниц
728;Здравоохранение/Медицина;Проблемы с контейнерами
729;Социальное обслуживание и защита;Дети и многодетные семьи
730;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
731;Социальное обслуживание и защита;Дети и многодетные семьи
732;ЖКХ;Жалобы на управляющие компании
733;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
734;Коронавирус;Сертификаты и QR-коды
735;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
736;Благоустройство;Самовольная установка ограждений на территории общего пользования
737;ЖКХ;Жалобы на управляющие компании
738;Дороги;Занятость и трудоустройство
739;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
740;Образование;Низкая температура воды/слабое давление
741;Благоустройство;Уборка территорий
742;Дороги;Занятость и трудоустройство
743;Социальное обслуживание и защита;Аварийное жилье/переселение
744;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
745;Социальное обслуживание и защита;Оказание гос. соц. помощи
746;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
747;Социальное обслуживание и защита;Оказание гос. соц. помощи
748;Коронавирус;Доступность вакцин
749;ЖКХ;Ненадлежащее качество или отсутствие отопления
750;Социальное обслуживание и защита;Дети и многодетные семьи
751;Здравоохранение/Медицина;Профильный осмотр
752;Дороги;Занятость и трудоустройство
753;Социальное обслуживание и защита;Дети и многодетные семьи
754;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
755;ЖКХ;Жалобы на управляющие компании
756;Благоустройство;★ Ненадлежащее содержание зеленых насаждений (газонов)/деревьев и кустарников
757;ЖКХ;★ Протечки с кровли (системы водостока)
758;Мусор/Свалки/ТКО;Плата за вывоз ТКО
759;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
760;ЖКХ;Отсутствие электричества
761;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
762;ЖКХ;Жалобы на управляющие компании
763;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
764;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
765;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
766;Образование;Образовательный процесс
767;Социальное обслуживание и защита;Дети и многодетные семьи
768;Социальное обслуживание и защита;Дети и многодетные семьи
769;Социальное обслуживание и защита;Оказание гос. соц. помощи
770;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
771;Мусор/Свалки/ТКО;Ямы и выбоины на дороге
772;Благоустройство;Социальные учреждения
773;Социальное обслуживание и защита;Дети и многодетные семьи
774;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
775;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
776;Благоустройство;Вырубка деревьев, кустарников
777;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
778;Благоустройство;Уборка территорий
779;Безопасность;Некорректное поведение водительского состава
780;ЖКХ;Завышение платы за коммунальные услуги
781;Спецпроекты;Льготы на проезд и тарифы
782;Социальное обслуживание и защита;Дети и многодетные семьи
783;ЖКХ;Ненадлежащее качество или отсутствие отопления
784;Социальное обслуживание и защита;Оказание гос. соц. помощи
785;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
786;Дороги;Занятость и трудоустройство
787;Общественный транспорт;Проблемы с социальными картами или проездными документами
788;Образование;Дистанционное образование
789;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
790;Дороги;Некачественно выполненный ремонт дорог
791;Дороги;Занятость и трудоустройство
792;Социальное обслуживание и защита;Оказание гос. соц. помощи
793;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
794;Дороги;Отлов безнадзорных собак и кошек
795;Социальное обслуживание и защита;Дети и многодетные семьи
796;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
797;ЖКХ;Ненадлежащее качество или отсутствие отопления
798;Здравоохранение/Медицина;Проблемы с контейнерами
799;Социальное обслуживание и защита;Дети и многодетные семьи
800;Дороги;Занятость и трудоустройство
801;Благоустройство;Социальные учреждения
802;Здравоохранение/Медицина;Содержание больниц
803;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
804;ЖКХ;Спецпроекты
805;ЖКХ;Отсутствие холодной воды
806;Дороги;Занятость и трудоустройство
807;Социальное обслуживание и защита;Дети и многодетные семьи
808;Благоустройство;Уборка территорий
809;Здравоохранение/Медицина;Профильный осмотр
810;Социальное обслуживание и защита;Дети и многодетные семьи
811;Коронавирус;Тесты на коронавирус
812;Дороги;Предложить установку нового лежачего полицейского (ИДН)
813;Социальное обслуживание и защита;Государственные услуги
814;Дороги;Ремонт/строительство мостов
815;Здравоохранение/Медицина;Проблемы с контейнерами
816;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
817;ЖКХ;Жалобы на управляющие компании
818;Мобилизация;Инвалиды
819;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
820;Благоустройство;Предложение по благоустройству
821;Памятники и объекты культурного наследия;Памятники и объекты культурного наследия
822;Благоустройство;Отсутствие детских площадок
823;Благоустройство;Уборка территорий
824;Социальное обслуживание и защита;Дети и многодетные семьи
825;Социальное обслуживание и защита;Оказание гос. соц. помощи
826;ЖКХ;Жалобы на управляющие компании
827;Общественный транспорт;Плохое качество воды
828;Благоустройство;Детские оздоровительные лагеря
829;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
830;Безопасность;Льготные лекарства
831;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
832;Социальное обслуживание и защита;Оказание гос. соц. помощи
833;Социальное обслуживание и защита;Государственные услуги
834;ЖКХ;Жалобы на управляющие компании
835;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
836;ЖКХ;Ненадлежащее качество или отсутствие отопления
837;ЖКХ;Ремонт подъездов
838;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
839;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
840;Здравоохранение/Медицина;Очередь
841;Благоустройство;Ливневые канализации (строительство и реконструкция)
842;Образование;Образовательный процесс
843;Газ и топливо;Запрос на газификацию и её условия
844;Социальное обслуживание и защита;Оказание гос. соц. помощи
845;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
846;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
847;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
848;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
849;Социальное обслуживание и защита;Дети и многодетные семьи
850;Социальное обслуживание и защита;Оказание гос. соц. помощи
851;Социальное обслуживание и защита;Оказание гос. соц. помощи
852;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
853;Благоустройство;Социальные учреждения
854;Дороги;Содержание, ремонт и обустройство тротуаров
855;Благоустройство;Уборка территорий
856;Социальное обслуживание и защита;Дети и многодетные семьи
857;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
858;Социальное обслуживание и защита;Оказание гос. соц. помощи
859;Благоустройство;Борщевик Сосновского
860;Образование;Образовательный процесс
861;Здравоохранение/Медицина;Очередь
862;Мусор/Свалки/ТКО;Плата за вывоз ТКО
863;Социальное обслуживание и защита;Дети и многодетные семьи
864;Общественный транспорт;Поддержка семей мобилизованных
865;Дороги;Занятость и трудоустройство
866;Социальное обслуживание и защита;Оказание гос. соц. помощи
867;Газ и топливо;Запрос на газификацию и её условия
868;Мобилизация;Зарплата, компенсации, поощрения, выплаты
869;Дороги;Занятость и трудоустройство
870;Общественный транспорт;Пенсионеры и ветераны
871;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
872;Общественный транспорт;Проблемы с социальными картами или проездными документами
873;Физическая культура и спорт;Ремонт спортивных учреждений
874;Социальное обслуживание и защита;Дети и многодетные семьи
875;Общественный транспорт;Неудовлетворительные условия проезда в транспорте на действующем маршруте
876;ЖКХ;Жалобы на управляющие компании
877;Здравоохранение/Медицина;Очередь
878;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
879;Общественный транспорт;Поддержка семей мобилизованных
880;Социальное обслуживание и защита;Дети и многодетные семьи
881;Социальное обслуживание и защита;Оказание гос. соц. помощи
882;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
883;ЖКХ;Жалобы на управляющие компании
884;Здравоохранение/Медицина;Содержание больниц
885;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
886;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
887;Дороги;Содержание, ремонт и обустройство тротуаров
888;ЖКХ;Жалобы на управляющие компании
889;Социальное обслуживание и защита;Оказание гос. соц. помощи
890;Образование;Образовательный процесс
891;Социальное обслуживание и защита;Оказание гос. соц. помощи
892;Социальное обслуживание и защита;Дети и многодетные семьи
893;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
894;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
895;Социальное обслуживание и защита;Оказание гос. соц. помощи
896;ЖКХ;Жалобы на управляющие компании
897;Благоустройство;Уборка территорий
898;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
899;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
900;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
901;Образование;Содержание гос. образовательных организаций
902;Благоустройство;Детские оздоровительные лагеря
903;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
904;Социальное обслуживание и защита;Аварийное жилье/переселение
905;Здравоохранение/Медицина;Очередь
906;Дороги;Занятость и трудоустройство
907;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
908;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
909;Благоустройство;Уборка территорий
910;Социальное обслуживание и защита;Дети и многодетные семьи
911;Дороги;Подтопление автомобильных дорог
912;Социальное обслуживание и защита;Оказание гос. соц. помощи
913;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
914;Дороги;Занятость и трудоустройство
915;Социальное обслуживание и защита;Дети и многодетные семьи
916;Общественный транспорт;Пенсионеры и ветераны
917;ЖКХ;График движения общественного транспорта
918;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
919;Общественный транспорт;Пенсионеры и ветераны
920;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
921;Благоустройство;Вырубка деревьев, кустарников
922;Дороги;Занятость и трудоустройство
923;ЖКХ;Жалобы на управляющие компании
924;ЖКХ;Сборы за капитальный ремонт
925;Образование;Дистанционное образование
926;ЖКХ;Жалобы на управляющие компании
927;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
928;Социальное обслуживание и защита;Дети и многодетные семьи
929;Здравоохранение/Медицина;Диспансеризация
930;Благоустройство;Обустройство асфальтового покрытия парковки, внутридворового проезда, тротуара, пешеходной дорожки, въезда во двор
931;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
932;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
933;Благоустройство;Отсутствие детских площадок
934;ЖКХ;Отсутствие горячей воды
935;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
936;Дороги;Занятость и трудоустройство
937;Социальное обслуживание и защита;Дети и многодетные семьи
938;Благоустройство;Уборка территорий
939;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
940;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
941;Здравоохранение/Медицина;Профильный осмотр
942;Электроснабжение;Качество электроснабжения
943;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
944;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
945;Благоустройство;Ремонт дороги
946;Социальное обслуживание и защита;Дети и многодетные семьи
947;Дороги;Занятость и трудоустройство
948;Общественный транспорт;Проблемы с социальными картами или проездными документами
949;Мусор/Свалки/ТКО;Плата за вывоз ТКО
950;Общественный транспорт;Пенсионеры и ветераны
951;Здравоохранение/Медицина;Проблемы с контейнерами
952;ЖКХ;Завышение платы за коммунальные услуги
953;Общественный транспорт;Изменить или отменить маршрут
954;Благоустройство;Ливневые канализации (строительство и реконструкция)
955;Социальное обслуживание и защита;Оказание гос. соц. помощи
956;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
957;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
958;Социальное обслуживание и защита;Государственные услуги
959;ЖКХ;Ремонт подъездов
960;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
961;Благоустройство;Ремонт дороги
962;Социальное обслуживание и защита;Дети и многодетные семьи
963;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
964;ЖКХ;Завышение платы за коммунальные услуги
965;Дороги;Отсутствие фонарей освещения
966;Здравоохранение/Медицина;★ Затопление подъездов, подвальных помещений
967;Дороги;Занятость и трудоустройство
968;Дороги;Занятость и трудоустройство
969;Социальное обслуживание и защита;Оказание гос. соц. помощи
970;Социальное обслуживание и защита;Оказание гос. соц. помощи
971;Образование;Образовательный процесс
972;Социальное обслуживание и защита;Дети и многодетные семьи
973;Здравоохранение/Медицина;Очередь
974;Образование;Проблемы с отоплением детских садов и школ
975;Мусор/Свалки/ТКО;Плата за вывоз ТКО
976;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
977;Дороги;Освещение неисправно или отсутствует
978;Мусор/Свалки/ТКО;Раздельная сортировка отходов
979;Образование;Дистанционное образование
980;ЖКХ;Ремонт подъездов
981;Физическая культура и спорт;★ Прорыв трубы/трубопровода
982;Здравоохранение/Медицина;Содержание больниц
983;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
984;Социальное обслуживание и защита;Оказание гос. соц. помощи
985;Социальное обслуживание и защита;Дети и многодетные семьи
986;Социальное обслуживание и защита;Дети и многодетные семьи
987;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
988;Здравоохранение/Медицина;Ошибки врачей, халатность
989;Мусор/Свалки/ТКО;Плата за вывоз ТКО
990;ЖКХ;Ремонт подъездов
991;Социальное обслуживание и защита;Оказание гос. соц. помощи
992;Социальное обслуживание и защита;Дети и многодетные семьи
993;Социальное обслуживание и защита;Дети и многодетные семьи
